Date,Price
2024-06-19,4741100.0000000615
2024-06-20,4629940.000000006
2024-06-21,4463200.000000006
2024-06-22,4407620.0000000615
2024-06-23,4296460.000000006
2024-06-24,4185299.999999949
2024-06-25,4074140.000000062
2024-06-26,3851819.99999995
2024-06-27,3629500.000000006
2024-06-28,3518339.9999999497
2024-06-29,3518339.9999999497
2024-06-30,3296020.0000000056
2024-07-01,3073700.000000062
2024-07-02,2962540.0000000056
2024-07-03,2740220.000000062
2024-07-04,2462320.0000000056
2024-07-05,2184419.9999999497
2024-07-06,1962100.0000000056
2024-07-07,1739780.0000000617
2024-07-08,2351159.9999999497
2024-07-09,2073260.0000000612
2024-07-10,1795360.0000000058
2024-07-11,1628620.0000000056
2024-07-12,1962100.0000000056
2024-07-13,2128840.0000000056
2024-07-14,2073260.0000000612
2024-07-15,2073260.0000000612
2024-07-16,2128840.0000000056
2024-07-17,2406740.000000061
2024-07-18,2517899.9999999497
2024-07-19,2406740.000000061
2024-07-20,2351159.9999999497
2024-07-21,2240000.000000062
2024-07-22,2240000.000000062
2024-07-23,2240000.000000062
2024-07-24,2351159.9999999497
2024-07-25,2684639.9999999497
2024-07-26,2906960.000000061
2024-07-27,2906960.000000061
2024-07-28,2795800.0000000056
2024-07-29,2795800.0000000056
2024-07-30,3129280.0000000056
2024-07-31,3129280.0000000056
2024-08-01,3129280.0000000056
2024-08-02,3129280.0000000056
2024-08-03,3129280.0000000056
2024-08-04,3240440.000000061
2024-08-05,3240440.000000061
2024-08-06,3240440.000000061
2024-08-07,3018119.9999999497
2024-08-08,2795800.0000000056
2024-08-09,2462320.0000000056
2024-08-10,2573480.000000061
2024-08-11,2684639.9999999497
2024-08-12,2906960.000000061
2024-08-13,2906960.000000061
2024-08-14,2906960.000000061
2024-08-15,2906960.000000061
2024-08-16,2906960.000000061
2024-08-17,2906960.000000061
2024-08-18,2795800.0000000056
2024-08-19,2684639.9999999497
2024-08-20,2906960.000000061
2024-08-21,3018119.9999999497
2024-08-22,3129280.0000000056
2024-08-23,3129280.0000000056
2024-08-24,3129280.0000000056
2024-08-25,3129280.0000000056
2024-08-26,3129280.0000000056
2024-08-27,3129280.0000000056
2024-08-28,2906960.000000061
2024-08-29,3129280.0000000056
2024-08-30,3240440.000000061
2024-08-31,3240440.000000061
2024-09-01,3129280.0000000056
2024-09-02,2906960.000000061
2024-09-03,2795800.0000000056
2024-09-04,2795800.0000000056
2024-09-05,2795800.0000000056
2024-09-06,2795800.0000000056
2024-09-07,2684639.9999999497
2024-09-08,2684639.9999999497
2024-09-09,2684639.9999999497
2024-09-10,2573480.000000061
2024-09-11,2462320.0000000056
2024-09-12,2462320.0000000056
2024-09-13,2573480.000000061
2024-09-14,2684639.9999999497
2024-09-15,2573480.000000061
2024-09-16,2462320.0000000056
2024-09-17,2351159.9999999497
2024-09-18,2240000.000000062
2024-09-19,2240000.000000062
2024-09-20,2240000.000000062
2024-09-21,2462320.0000000056
2024-09-22,2462320.0000000056
2024-09-23,2462320.0000000056
2024-09-24,2351159.9999999497
2024-09-25,2240000.000000062
2024-09-26,2240000.000000062
2024-09-27,2128840.0000000056
2024-09-28,2128840.0000000056
2024-09-29,2128840.0000000056
2024-09-30,2128840.0000000056
2024-10-01,2128840.0000000056
2024-10-02,2017679.9999999497
2024-10-03,2017679.9999999497
2024-10-04,2017679.9999999497
2024-10-05,2017679.9999999497
2024-10-06,2128840.0000000056
2024-10-07,2128840.0000000056
2024-10-08,2128840.0000000056
2024-10-09,2240000.000000062
2024-10-10,2240000.000000062
2024-10-11,2240000.000000062
2024-10-12,2240000.000000062
2024-10-13,2240000.000000062
2024-10-14,2128840.0000000056
2024-10-15,2128840.0000000056
2024-10-16,2128840.0000000056
2024-10-17,2351159.9999999497
2024-10-18,2351159.9999999497
