Date,Score
2024-12-30,49.08
2024-12-31,0.0
2025-01-01,0.0
2025-01-02,21.16
2025-01-03,10.37
2025-01-04,0.0
2025-01-05,0.0
2025-01-06,9.45
2025-01-07,13.69
2025-01-08,8.78
2025-01-09,10.59
2025-01-10,25.92
2025-01-11,0.0
2025-01-12,87.93
2025-01-13,26.79
2025-01-14,-10.5
2025-01-15,18.95
2025-01-16,-35.21
2025-01-17,16.43
2025-01-18,9.95
2025-01-19,12.03
2025-01-20,15.24
2025-01-21,21.98
2025-01-22,6.2
2025-01-23,26.98
2025-01-24,35.64
2025-01-25,-24.19
2025-01-26,15.84
2025-01-27,13.61
2025-01-28,44.35
2025-01-29,26.25
2025-01-30,18.24
2025-01-31,20.37
2025-02-01,-45.92
2025-02-02,-39.39
2025-02-03,-27.33
2025-02-04,-10.61
2025-02-05,30.69
2025-02-06,62.67
2025-02-07,8.99
2025-02-08,0.81
2025-02-09,-3.17
2025-02-10,10.49
2025-02-11,17.64
2025-02-12,0.0
2025-02-13,3.43
2025-02-14,1.92
2025-02-15,8.96
2025-02-16,-9.23
2025-02-17,-18.88
2025-02-18,0.7
2025-02-19,10.0
2025-02-20,-7.21
2025-02-21,29.32
2025-02-22,58.51
2025-02-23,20.51
2025-02-24,17.89
2025-02-25,25.64
2025-02-26,36.16
2025-02-27,-12.52
2025-02-28,19.68
2025-03-01,0.0
2025-03-02,32.8
2025-03-03,-38.6
2025-03-04,3.25
2025-03-05,41.23
2025-03-06,-5.25
2025-03-07,26.15
2025-03-08,-7.68
2025-03-09,0.29
2025-03-10,32.21
2025-03-11,27.4
2025-03-12,28.78
2025-03-13,38.73
2025-03-14,0.0
2025-03-15,-82.14
2025-03-16,11.9
2025-03-17,-23.48
2025-03-18,-1.36
2025-03-19,-2.99
2025-03-20,9.06
2025-03-21,22.0
2025-03-22,8.1
2025-03-23,-1.52
2025-03-24,32.79
2025-03-25,23.73
