Date,Score
2024-12-30,-9.91
2024-12-31,22.29
2025-01-01,-31.21
2025-01-02,23.08
2025-01-03,22.79
2025-01-04,-16.84
2025-01-05,10.78
2025-01-06,-30.98
2025-01-07,-21.07
2025-01-08,12.98
2025-01-09,26.91
2025-01-10,-59.78
2025-01-11,59.73
2025-01-12,89.05
2025-01-13,40.95
2025-01-14,34.07
2025-01-15,35.57
2025-01-16,12.8
2025-01-17,3.15
2025-01-18,0.0
2025-01-19,28.8
2025-01-20,21.68
2025-01-21,7.84
2025-01-22,33.33
2025-01-23,30.85
2025-01-24,0.78
2025-01-25,0.0
2025-01-26,0.0
2025-01-27,35.13
2025-01-28,0.94
2025-01-29,25.61
2025-01-30,35.6
2025-01-31,63.92
2025-02-01,24.9
2025-02-02,15.02
2025-02-03,6.84
2025-02-04,6.56
2025-02-05,24.73
2025-02-06,18.77
2025-02-07,34.33
2025-02-08,16.89
2025-02-09,27.78
2025-02-10,43.37
2025-02-11,17.21
2025-02-12,40.99
2025-02-13,13.06
2025-02-14,6.78
2025-02-15,11.67
2025-02-16,-6.85
2025-02-17,18.12
2025-02-18,22.92
2025-02-19,7.08
2025-02-20,4.78
2025-02-21,25.96
2025-02-22,0.0
2025-02-23,12.79
2025-02-24,17.2
2025-02-25,-2.15
2025-02-26,0.42
2025-02-27,17.41
2025-02-28,37.68
2025-03-01,17.16
2025-03-02,-2.87
2025-03-03,33.02
2025-03-04,11.81
2025-03-05,32.26
2025-03-06,36.84
2025-03-07,24.85
2025-03-08,0.0
2025-03-09,41.03
2025-03-10,16.78
2025-03-11,-3.57
2025-03-12,18.18
2025-03-13,45.52
2025-03-14,0.0
2025-03-15,0.0
2025-03-16,0.0
2025-03-17,46.58
2025-03-18,-11.47
2025-03-19,18.99
2025-03-20,16.94
2025-03-21,38.41
