Date,Score
2024-12-30,2.24
2024-12-31,7.59
2025-01-01,0.0
2025-01-02,0.0
2025-01-03,17.74
2025-01-04,0.0
2025-01-05,-12.3
2025-01-06,20.01
2025-01-07,21.07
2025-01-08,33.42
2025-01-09,14.89
2025-01-10,29.62
2025-01-11,17.69
2025-01-12,1.32
2025-01-13,20.63
2025-01-14,5.06
2025-01-15,18.86
2025-01-16,16.82
2025-01-17,21.72
2025-01-18,0.0
2025-01-19,0.0
2025-01-20,23.17
2025-01-21,15.91
2025-01-22,13.75
2025-01-23,38.48
2025-01-24,-1.31
2025-01-25,-3.19
2025-01-26,10.88
2025-01-27,15.42
2025-01-28,26.21
2025-01-29,-1.0
2025-01-30,17.8
2025-01-31,27.44
2025-02-01,48.29
2025-02-02,26.15
2025-02-03,-0.71
2025-02-04,24.95
2025-02-05,20.51
2025-02-06,22.95
2025-02-07,-1.38
2025-02-08,4.09
2025-02-09,10.05
2025-02-10,-12.45
2025-02-11,3.1
2025-02-12,6.71
2025-02-13,7.99
2025-02-14,27.98
2025-02-15,1.58
2025-02-16,37.6
2025-02-17,30.87
2025-02-18,3.58
2025-02-19,4.72
2025-02-20,8.48
2025-02-21,5.82
2025-02-22,0.67
2025-02-23,17.82
2025-02-24,20.73
2025-02-25,7.73
2025-02-26,21.66
2025-02-27,0.0
2025-02-28,-18.78
2025-03-01,42.35
2025-03-02,25.0
2025-03-03,20.49
2025-03-04,23.96
2025-03-05,37.01
2025-03-06,23.82
2025-03-07,-55.51
2025-03-08,-27.11
2025-03-09,-0.18
2025-03-10,-24.43
2025-03-11,24.17
2025-03-12,36.94
2025-03-13,-0.65
2025-03-14,0.0
2025-03-15,0.0
2025-03-16,0.0
2025-03-17,28.11
2025-03-18,4.93
2025-03-19,18.88
2025-03-20,-75.64
2025-03-21,-59.91
2025-03-22,-57.53
2025-03-23,-16.91
2025-03-24,4.36
2025-03-25,0.0
