Date,Score
2024-12-30,-10.86
2024-12-31,-37.71
2025-01-01,-9.4
2025-01-02,26.82
2025-01-03,11.39
2025-01-04,-2.86
2025-01-05,38.19
2025-01-06,17.1
2025-01-07,7.17
2025-01-08,20.78
2025-01-09,11.38
2025-01-10,-15.13
2025-01-11,17.67
2025-01-12,14.87
2025-01-13,6.76
2025-01-14,2.51
2025-01-15,0.0
2025-01-16,13.45
2025-01-17,5.38
2025-01-18,13.34
2025-01-19,9.47
2025-01-20,14.05
2025-01-21,27.49
2025-01-22,21.44
2025-01-23,18.71
2025-01-24,1.13
2025-01-25,15.91
2025-01-26,10.8
2025-01-27,17.24
2025-01-28,36.87
2025-01-29,51.25
2025-01-30,8.08
2025-01-31,32.35
2025-02-01,64.59
2025-02-02,48.09
2025-02-03,-11.57
2025-02-04,31.89
2025-02-05,-32.02
2025-02-06,32.39
2025-02-07,4.37
2025-02-08,-13.62
2025-02-09,25.75
2025-02-10,45.29
2025-02-11,55.7
2025-02-12,59.43
2025-02-13,18.05
2025-02-14,22.06
2025-02-15,42.08
2025-02-16,17.22
2025-02-17,30.66
2025-02-18,10.47
2025-02-19,33.94
2025-02-20,68.82
2025-02-21,29.9
2025-02-22,44.92
2025-02-23,18.08
2025-02-24,-45.81
2025-02-25,7.43
2025-02-26,17.34
2025-02-27,25.75
2025-02-28,22.3
2025-03-01,-0.09
2025-03-02,37.09
2025-03-03,12.24
2025-03-04,20.61
2025-03-05,41.69
2025-03-06,49.57
2025-03-07,1.15
2025-03-08,1.75
2025-03-09,43.91
2025-03-10,-1.7
2025-03-11,24.41
2025-03-12,37.31
2025-03-13,3.06
2025-03-14,0.0
2025-03-15,-13.26
2025-03-16,44.44
2025-03-17,26.89
2025-03-18,23.42
2025-03-19,25.28
2025-03-20,-9.23
2025-03-21,-5.71
2025-03-22,-19.03
2025-03-23,-0.51
2025-03-24,-10.71
2025-03-25,-45.97
