Date,Score
2024-12-30,9.54
2024-12-31,1.99
2025-01-01,16.6
2025-01-02,46.96
2025-01-03,7.07
2025-01-04,17.26
2025-01-05,9.45
2025-01-06,16.31
2025-01-07,0.08
2025-01-08,4.57
2025-01-09,7.07
2025-01-10,-22.16
2025-01-11,35.24
2025-01-12,15.7
2025-01-13,-41.43
2025-01-14,12.12
2025-01-15,-6.81
2025-01-16,-0.18
2025-01-17,7.02
2025-01-18,4.83
2025-01-19,-12.93
2025-01-20,-19.36
2025-01-21,-17.93
2025-01-22,26.52
2025-01-23,9.76
2025-01-24,-3.43
2025-01-25,35.48
2025-01-26,17.58
2025-01-27,15.83
2025-01-28,-15.99
2025-01-29,10.14
2025-01-30,2.21
2025-01-31,-13.83
2025-02-01,13.7
2025-02-02,4.41
2025-02-03,-8.86
2025-02-04,-0.85
2025-02-05,-53.86
2025-02-06,1.9
2025-02-07,-15.34
2025-02-08,-13.34
2025-02-09,10.83
2025-02-10,13.92
2025-02-11,31.38
2025-02-12,24.39
2025-02-13,8.67
2025-02-14,1.47
2025-02-15,5.74
2025-02-16,-21.82
2025-02-17,4.68
2025-02-18,10.23
2025-02-19,-5.97
2025-02-20,-17.85
2025-02-21,18.63
2025-02-22,-2.21
2025-02-23,34.06
2025-02-24,17.56
2025-02-25,-19.22
2025-02-26,-3.14
2025-02-27,9.04
2025-02-28,9.24
2025-03-01,15.37
2025-03-02,9.49
2025-03-03,20.22
2025-03-04,0.28
2025-03-05,18.41
2025-03-06,14.12
2025-03-07,-3.2
2025-03-08,-0.82
2025-03-09,25.3
2025-03-10,0.53
2025-03-11,8.44
2025-03-12,2.98
2025-03-13,0.0
2025-03-14,37.83
2025-03-15,11.6
2025-03-16,24.26
2025-03-17,20.68
2025-03-18,34.02
2025-03-19,3.84
2025-03-20,23.01
2025-03-21,39.16
2025-03-22,15.02
2025-03-23,-21.05
2025-03-24,23.2
2025-03-25,17.38
