Date,Score
2024-12-30,-3.55
2024-12-31,77.81
2025-01-01,-1.66
2025-01-02,-9.29
2025-01-03,17.26
2025-01-04,45.66
2025-01-05,-18.84
2025-01-06,67.0
2025-01-07,18.22
2025-01-08,14.74
2025-01-09,14.18
2025-01-10,11.27
2025-01-11,55.21
2025-01-12,0.0
2025-01-13,29.39
2025-01-14,18.84
2025-01-15,0.0
2025-01-16,12.0
2025-01-17,65.72
2025-01-18,0.0
2025-01-19,53.4
2025-01-20,28.27
2025-01-21,34.41
2025-01-22,23.2
2025-01-23,24.13
2025-01-24,17.58
2025-01-25,-27.55
2025-01-26,0.0
2025-01-27,23.82
2025-01-28,37.66
2025-01-29,16.16
2025-01-30,-0.23
2025-01-31,27.45
2025-02-01,25.56
2025-02-02,0.0
2025-02-03,1.77
2025-02-04,0.95
2025-02-05,14.44
2025-02-06,1.36
2025-02-07,-8.17
2025-02-08,10.06
2025-02-09,5.78
2025-02-10,0.53
2025-02-11,2.65
2025-02-12,-0.55
2025-02-13,16.94
2025-02-14,0.0
2025-02-15,3.37
2025-02-16,13.64
2025-02-17,-9.0
2025-02-18,5.34
2025-02-19,-8.9
2025-02-20,4.99
2025-02-21,10.88
2025-02-22,-7.85
2025-02-23,7.6
2025-02-24,34.22
2025-02-25,37.58
2025-02-26,22.98
2025-02-27,-1.32
2025-02-28,-19.12
2025-03-01,21.96
2025-03-02,-11.55
2025-03-03,27.24
2025-03-04,1.05
2025-03-05,31.57
2025-03-06,6.97
2025-03-07,-17.1
2025-03-08,25.88
2025-03-09,6.06
2025-03-10,23.79
2025-03-11,18.26
2025-03-12,5.78
2025-03-13,-9.55
2025-03-14,0.0
2025-03-15,0.0
2025-03-16,-0.45
2025-03-17,-0.61
2025-03-18,25.42
2025-03-19,5.13
2025-03-20,-0.8
2025-03-21,-13.71
