Date,Score
2024-12-30,30.2
2024-12-31,15.0
2025-01-01,9.25
2025-01-02,18.15
2025-01-03,2.04
2025-01-04,16.84
2025-01-05,9.27
2025-01-06,17.61
2025-01-07,22.7
2025-01-08,7.98
2025-01-09,5.14
2025-01-10,33.71
2025-01-11,32.7
2025-01-12,-0.34
2025-01-13,18.35
2025-01-14,14.2
2025-01-15,6.65
2025-01-16,31.21
2025-01-17,7.51
2025-01-18,18.54
2025-01-19,-32.66
2025-01-20,18.69
2025-01-21,5.45
2025-01-22,9.4
2025-01-23,-5.37
2025-01-24,22.82
2025-01-25,30.97
2025-01-26,28.79
2025-01-27,12.49
2025-01-28,0.0
2025-01-29,30.34
2025-01-30,-11.24
2025-01-31,22.68
2025-02-01,13.53
2025-02-02,28.57
2025-02-03,-4.09
2025-02-04,21.93
2025-02-05,26.49
2025-02-06,18.15
2025-02-07,1.75
2025-02-08,8.27
2025-02-09,3.82
2025-02-10,13.37
2025-02-11,22.15
2025-02-12,-9.64
2025-02-13,-19.46
2025-02-14,-43.89
2025-02-15,-16.03
2025-02-16,-15.26
2025-02-17,-14.56
2025-02-18,-0.02
2025-02-19,-12.83
2025-02-20,23.93
2025-02-21,2.15
2025-02-22,21.38
2025-02-23,0.53
2025-02-24,7.38
2025-02-25,-19.0
2025-02-26,14.81
2025-02-27,-1.19
2025-02-28,10.29
2025-03-01,22.03
2025-03-02,16.34
2025-03-03,-9.08
2025-03-04,12.09
2025-03-05,0.22
2025-03-06,9.11
2025-03-07,28.98
2025-03-08,13.51
2025-03-09,11.29
2025-03-10,41.9
2025-03-11,18.67
2025-03-12,10.67
2025-03-13,20.09
2025-03-14,0.0
2025-03-15,0.0
2025-03-16,-16.91
2025-03-17,26.88
2025-03-18,32.02
2025-03-19,4.96
2025-03-20,22.97
2025-03-21,18.95
