Date,Score
2024-12-30,0.92
2024-12-31,7.11
2025-01-01,0.02
2025-01-02,0.07
2025-01-03,-40.01
2025-01-04,27.52
2025-01-05,-30.15
2025-01-06,-27.65
2025-01-07,43.52
2025-01-08,-12.48
2025-01-09,6.16
2025-01-10,-9.97
2025-01-11,0.0
2025-01-12,0.0
2025-01-13,26.83
2025-01-14,-4.03
2025-01-15,0.04
2025-01-16,25.43
2025-01-17,22.84
2025-01-18,48.08
2025-01-19,15.31
2025-01-20,32.72
2025-01-21,39.84
2025-01-22,3.5
2025-01-23,24.23
2025-01-24,14.63
2025-01-25,31.6
2025-01-26,4.1
2025-01-27,9.35
2025-01-28,32.34
2025-01-29,17.62
2025-01-30,-1.75
2025-01-31,-25.4
2025-02-01,-24.3
2025-02-02,-21.54
2025-02-03,-37.54
2025-02-04,-20.17
2025-02-05,-0.69
2025-02-06,17.62
2025-02-07,-28.7
2025-02-08,0.7
2025-02-09,-11.94
2025-02-10,-24.67
2025-02-11,7.61
2025-02-12,3.51
2025-02-13,-8.09
2025-02-14,-15.28
2025-02-15,49.56
2025-02-16,-36.43
2025-02-17,14.66
2025-02-18,16.39
2025-02-19,0.11
2025-02-20,8.3
2025-02-21,4.59
2025-02-22,23.34
2025-02-23,10.6
2025-02-24,29.67
2025-02-25,20.32
2025-02-26,37.21
2025-02-27,52.03
2025-02-28,38.59
2025-03-01,28.21
2025-03-02,12.59
2025-03-03,51.5
2025-03-04,64.34
2025-03-05,17.52
2025-03-06,17.39
2025-03-07,37.58
2025-03-08,-15.01
2025-03-09,14.31
2025-03-10,68.76
2025-03-11,55.03
2025-03-12,35.3
2025-03-13,49.77
2025-03-14,0.0
2025-03-15,0.0
2025-03-16,0.0
2025-03-17,36.12
2025-03-18,54.09
2025-03-19,13.89
2025-03-20,12.88
2025-03-21,28.69
