Date,Score
2024-12-30,0.0
2024-12-31,-4.51
2025-01-01,-13.58
2025-01-02,-5.18
2025-01-03,0.52
2025-01-04,-28.41
2025-01-05,8.69
2025-01-06,3.94
2025-01-07,18.15
2025-01-08,8.74
2025-01-09,-17.39
2025-01-10,35.22
2025-01-11,6.64
2025-01-12,13.24
2025-01-13,15.6
2025-01-14,43.99
2025-01-15,7.69
2025-01-16,42.89
2025-01-17,-11.04
2025-01-18,22.75
2025-01-19,12.52
2025-01-20,8.43
2025-01-21,13.5
2025-01-22,7.65
2025-01-23,-32.75
2025-01-24,-18.72
2025-01-25,-16.74
2025-01-26,1.1
2025-01-27,-9.3
2025-01-28,-8.08
2025-01-29,24.12
2025-01-30,-12.35
2025-01-31,-1.23
2025-02-01,-18.49
2025-02-02,-21.63
2025-02-03,-17.32
2025-02-04,33.89
2025-02-05,5.29
2025-02-06,-17.96
2025-02-07,10.75
2025-02-08,8.27
2025-02-09,-7.39
2025-02-10,36.02
2025-02-11,46.02
2025-02-12,-20.77
2025-02-13,-0.69
2025-02-14,-9.48
2025-02-15,-25.61
2025-02-16,5.15
2025-02-17,-27.72
2025-02-18,-31.78
2025-02-19,8.76
2025-02-20,-15.18
2025-02-21,0.12
2025-02-22,6.89
2025-02-23,-1.32
2025-02-24,-16.9
2025-02-25,-16.17
2025-02-26,-10.15
2025-02-27,-6.08
2025-02-28,36.32
2025-03-01,7.27
2025-03-02,2.43
2025-03-03,-11.14
2025-03-04,-27.3
2025-03-05,-30.63
2025-03-06,24.88
2025-03-07,-18.63
2025-03-08,-25.43
2025-03-09,-18.0
2025-03-10,-33.32
2025-03-11,-71.47
2025-03-12,-25.28
2025-03-13,3.82
2025-03-14,-32.91
2025-03-15,-9.62
2025-03-16,2.03
2025-03-17,-5.78
2025-03-18,-49.28
2025-03-19,17.67
2025-03-20,9.21
2025-03-21,6.31
2025-03-22,-19.77
2025-03-23,5.17
2025-03-24,2.96
2025-03-25,-8.42
