Date,Score
2024-12-30,37.05
2024-12-31,-1.02
2025-01-01,44.73
2025-01-02,25.7
2025-01-03,-2.43
2025-01-04,32.39
2025-01-05,0.0
2025-01-06,17.33
2025-01-07,-13.26
2025-01-08,47.05
2025-01-09,-0.93
2025-01-10,15.09
2025-01-11,0.0
2025-01-12,23.52
2025-01-13,27.96
2025-01-14,18.11
2025-01-15,6.34
2025-01-16,20.96
2025-01-17,11.38
2025-01-18,-4.4
2025-01-19,32.18
2025-01-20,13.06
2025-01-21,13.41
2025-01-22,27.88
2025-01-23,23.53
2025-01-24,-14.55
2025-01-25,0.09
2025-01-26,65.95
2025-01-27,-0.97
2025-01-28,19.28
2025-01-29,0.0
2025-01-30,34.64
2025-01-31,34.52
2025-02-01,-23.83
2025-02-02,-1.05
2025-02-03,6.52
2025-02-04,-19.76
2025-02-05,34.23
2025-02-06,-26.37
2025-02-07,-43.98
2025-02-08,19.65
2025-02-09,-6.63
2025-02-10,6.53
2025-02-11,41.52
2025-02-12,3.32
2025-02-13,-12.69
2025-02-14,-24.49
2025-02-15,1.0
2025-02-16,19.73
2025-02-17,14.67
2025-02-18,8.87
2025-02-19,35.88
2025-02-20,-0.23
2025-02-21,22.28
2025-02-22,-41.47
2025-02-23,-45.41
2025-02-24,-8.28
2025-02-25,18.52
2025-02-26,5.28
2025-02-27,46.75
2025-02-28,15.54
2025-03-01,13.98
2025-03-02,-32.31
2025-03-03,34.41
2025-03-04,13.75
2025-03-05,-21.71
2025-03-06,-15.36
2025-03-07,5.18
2025-03-08,50.45
2025-03-09,23.75
2025-03-10,58.41
2025-03-11,9.32
2025-03-12,-0.33
2025-03-13,26.0
2025-03-14,0.0
2025-03-15,-60.31
2025-03-16,0.0
2025-03-17,26.84
2025-03-18,20.32
2025-03-19,1.38
2025-03-20,-2.53
2025-03-21,-19.19
2025-03-22,6.93
2025-03-23,26.16
2025-03-24,8.5
2025-03-25,47.43
2025-03-26,9.71
2025-03-27,19.87
2025-03-28,70.65
2025-03-29,4.59
2025-03-30,8.87
2025-03-31,38.77
2025-04-01,6.23
2025-04-02,27.99
2025-04-03,-0.95
