Date,Score
2024-12-30,-9.92
2024-12-31,-0.02
2025-01-01,2.27
2025-01-02,-14.19
2025-01-03,-20.1
2025-01-04,22.43
2025-01-05,0.0
2025-01-06,43.38
2025-01-07,-5.91
2025-01-08,0.63
2025-01-09,24.14
2025-01-10,9.11
2025-01-11,13.59
2025-01-12,18.5
2025-01-13,9.48
2025-01-14,24.05
2025-01-15,-6.04
2025-01-16,15.89
2025-01-17,29.64
2025-01-18,15.25
2025-01-19,20.59
2025-01-20,25.41
2025-01-21,24.72
2025-01-22,5.27
2025-01-23,31.68
2025-01-24,7.08
2025-01-25,0.0
2025-01-26,-31.67
2025-01-27,-26.11
2025-01-28,-1.37
2025-01-29,-0.95
2025-01-30,32.48
2025-01-31,0.93
2025-02-01,8.27
2025-02-02,33.11
2025-02-03,-0.88
2025-02-04,7.79
2025-02-05,10.29
2025-02-06,29.07
2025-02-07,6.11
2025-02-08,31.83
2025-02-09,7.0
2025-02-10,3.55
2025-02-11,2.32
2025-02-12,-3.22
2025-02-13,9.42
2025-02-14,34.48
2025-02-15,38.65
2025-02-16,20.92
2025-02-17,-14.54
2025-02-18,35.63
2025-02-19,15.69
2025-02-20,8.66
2025-02-21,-2.69
2025-02-22,-2.66
2025-02-23,12.35
2025-02-24,-4.47
2025-02-25,0.15
2025-02-26,53.96
2025-02-27,24.17
2025-02-28,-24.22
2025-03-01,-7.92
2025-03-02,9.34
2025-03-03,-1.97
2025-03-04,-11.29
2025-03-05,30.41
2025-03-06,41.61
2025-03-07,0.46
2025-03-08,-17.2
2025-03-09,46.21
2025-03-10,14.8
2025-03-11,6.44
2025-03-12,6.97
2025-03-13,-6.52
2025-03-14,0.0
2025-03-15,0.0
2025-03-16,-3.04
2025-03-17,-22.14
2025-03-18,-5.89
2025-03-19,35.49
2025-03-20,35.51
2025-03-21,42.91
2025-03-22,25.37
2025-03-23,26.13
2025-03-24,26.34
2025-03-25,2.04
2025-03-26,-5.54
2025-03-27,8.76
2025-03-28,33.74
2025-03-29,1.09
2025-03-30,13.7
2025-03-31,0.15
2025-04-01,40.24
2025-04-02,15.37
2025-04-03,-25.06
