Date,Score
2024-12-30,5.49
2024-12-31,-1.63
2025-01-01,-14.9
2025-01-02,-8.74
2025-01-03,0.0
2025-01-04,0.0
2025-01-05,5.73
2025-01-06,-1.14
2025-01-07,-5.46
2025-01-08,-9.59
2025-01-09,7.67
2025-01-10,13.43
2025-01-11,-4.24
2025-01-12,0.0
2025-01-13,-9.53
2025-01-14,14.05
2025-01-15,-2.93
2025-01-16,-23.48
2025-01-17,-27.75
2025-01-18,-15.87
2025-01-19,0.0
2025-01-20,-1.12
2025-01-21,9.07
2025-01-22,-10.33
2025-01-23,4.02
2025-01-24,7.36
2025-01-25,0.0
2025-01-26,0.0
2025-01-27,0.0
2025-01-28,14.45
2025-01-29,-9.3
2025-01-30,-50.92
2025-01-31,16.86
2025-02-01,0.07
2025-02-02,8.08
2025-02-03,-8.94
2025-02-04,-15.24
2025-02-05,-25.08
2025-02-06,-3.08
2025-02-07,8.31
2025-02-08,15.74
2025-02-09,-5.17
2025-02-10,0.0
2025-02-11,-9.37
2025-02-12,24.98
2025-02-13,14.16
2025-02-14,0.0
2025-02-15,-3.46
2025-02-16,-0.09
2025-02-17,-16.67
2025-02-18,9.21
2025-02-19,9.07
2025-02-20,-7.5
2025-02-21,-2.85
2025-02-22,29.5
2025-02-23,0.0
2025-02-24,-13.98
2025-02-25,-1.01
2025-02-26,-0.88
2025-02-27,9.09
2025-02-28,-11.45
2025-03-01,34.17
2025-03-02,4.47
2025-03-03,-16.21
2025-03-04,-42.52
2025-03-05,-0.31
2025-03-06,-0.27
2025-03-07,-10.73
2025-03-08,-4.93
2025-03-09,28.39
2025-03-10,28.85
2025-03-11,0.0
2025-03-12,23.71
2025-03-13,0.0
2025-03-14,1.14
2025-03-15,0.0
2025-03-16,0.0
2025-03-17,27.36
2025-03-18,17.04
2025-03-19,-13.04
2025-03-20,11.68
2025-03-21,-1.32
2025-03-22,6.21
2025-03-23,-14.52
2025-03-24,14.83
2025-03-25,-3.46
