Date,Score
2024-12-30,24.81
2024-12-31,-6.02
2025-01-01,-11.89
2025-01-02,-10.71
2025-01-03,-2.78
2025-01-04,10.72
2025-01-05,-8.65
2025-01-06,-25.58
2025-01-07,6.65
2025-01-08,0.61
2025-01-09,13.73
2025-01-10,3.35
2025-01-11,23.07
2025-01-12,-14.02
2025-01-13,1.55
2025-01-14,12.37
2025-01-15,9.14
2025-01-16,-0.7
2025-01-17,-9.53
2025-01-18,11.98
2025-01-19,3.59
2025-01-20,14.9
2025-01-21,16.15
2025-01-22,-1.57
2025-01-23,-12.61
2025-01-24,21.67
2025-01-25,17.77
2025-01-26,-23.31
2025-01-27,54.67
2025-01-28,21.3
2025-01-29,12.95
2025-01-30,12.85
2025-01-31,-76.17
2025-02-01,1.68
2025-02-02,-15.53
2025-02-03,22.38
2025-02-04,16.15
2025-02-05,25.24
2025-02-06,6.17
2025-02-07,19.61
2025-02-08,-52.88
2025-02-09,-19.26
2025-02-10,16.95
2025-02-11,31.96
2025-02-12,-95.8
2025-02-13,-77.22
2025-02-14,-47.51
2025-02-15,-20.63
2025-02-16,-10.34
2025-02-17,-12.59
2025-02-18,-20.4
2025-02-19,-19.34
2025-02-20,5.04
2025-02-21,-25.47
2025-02-22,0.0
2025-02-23,15.17
2025-02-24,0.0
2025-02-25,30.12
2025-02-26,2.31
2025-02-27,-47.83
2025-02-28,7.89
2025-03-01,-22.55
2025-03-02,-7.62
2025-03-03,-0.29
2025-03-04,-63.52
2025-03-05,-25.87
2025-03-06,20.62
2025-03-07,-60.22
2025-03-08,-39.82
2025-03-09,-15.52
2025-03-10,-29.65
2025-03-11,-26.4
2025-03-12,-39.75
2025-03-13,11.21
2025-03-14,-21.14
2025-03-15,-28.52
2025-03-16,6.92
2025-03-17,6.89
2025-03-18,16.05
2025-03-19,-9.43
2025-03-20,2.59
2025-03-21,0.0
2025-03-22,12.35
2025-03-23,24.9
2025-03-24,42.27
2025-03-25,-3.02
2025-03-26,37.37
2025-03-27,0.03
2025-03-28,16.09
2025-03-29,2.6
2025-03-30,10.15
2025-03-31,-1.73
2025-04-01,-3.62
2025-04-02,16.17
2025-04-03,-16.87
