Date,Score
2024-12-30,-31.48
2024-12-31,-3.1
2025-01-01,-22.06
2025-01-02,5.27
2025-01-03,30.13
2025-01-04,0.0
2025-01-05,-23.91
2025-01-06,18.02
2025-01-07,-0.4
2025-01-08,-8.93
2025-01-09,22.27
2025-01-10,25.32
2025-01-11,46.0
2025-01-12,6.52
2025-01-13,13.13
2025-01-14,9.1
2025-01-15,14.88
2025-01-16,-1.41
2025-01-17,-5.95
2025-01-18,8.45
2025-01-19,9.44
2025-01-20,7.78
2025-01-21,-5.05
2025-01-22,-14.68
2025-01-23,-12.87
2025-01-24,6.45
2025-01-25,-47.23
2025-01-26,-49.8
2025-01-27,-4.44
2025-01-28,8.66
2025-01-29,9.37
2025-01-30,25.41
2025-01-31,-13.01
2025-02-01,-15.23
2025-02-02,8.98
2025-02-03,-9.57
2025-02-04,-3.05
2025-02-05,0.16
2025-02-06,1.79
2025-02-07,9.87
2025-02-08,17.31
2025-02-09,16.19
2025-02-10,-0.81
2025-02-11,16.75
2025-02-12,25.34
2025-02-13,33.05
2025-02-14,-8.86
2025-02-15,12.07
2025-02-16,2.58
2025-02-17,9.25
2025-02-18,-0.85
2025-02-19,22.44
2025-02-20,19.01
2025-02-21,-10.43
2025-02-22,10.98
2025-02-23,8.81
2025-02-24,-10.51
2025-02-25,26.93
2025-02-26,57.94
2025-02-27,22.96
2025-02-28,-6.09
2025-03-01,23.25
2025-03-02,43.96
2025-03-03,12.5
2025-03-04,27.17
2025-03-05,1.49
2025-03-06,22.5
2025-03-07,-2.11
2025-03-08,25.83
2025-03-09,0.67
2025-03-10,18.26
2025-03-11,41.19
2025-03-12,16.33
2025-03-13,-1.63
2025-03-14,0.0
2025-03-15,0.0
2025-03-16,28.32
2025-03-17,22.1
2025-03-18,25.7
2025-03-19,5.15
2025-03-20,-21.95
2025-03-21,-5.71
