Date,Score
2024-12-30,18.67
2024-12-31,9.44
2025-01-01,0.0
2025-01-02,13.14
2025-01-03,-12.68
2025-01-04,8.64
2025-01-05,5.41
2025-01-06,9.29
2025-01-07,-1.15
2025-01-08,-0.03
2025-01-09,17.49
2025-01-10,0.0
2025-01-11,6.66
2025-01-12,-0.94
2025-01-13,16.35
2025-01-14,1.18
2025-01-15,-3.25
2025-01-16,0.0
2025-01-17,22.29
2025-01-18,5.54
2025-01-19,20.95
2025-01-20,-9.31
2025-01-21,25.41
2025-01-22,29.92
2025-01-23,16.06
2025-01-24,-0.37
2025-01-25,23.29
2025-01-26,-5.89
2025-01-27,6.31
2025-01-28,-63.73
2025-01-29,-25.48
2025-01-30,-30.56
2025-01-31,-23.95
2025-02-01,23.42
2025-02-02,18.25
2025-02-03,21.05
2025-02-04,6.56
2025-02-05,7.7
2025-02-06,-1.38
2025-02-07,-34.2
2025-02-08,13.98
2025-02-09,-37.73
2025-02-10,-17.7
2025-02-11,47.36
2025-02-12,11.49
2025-02-13,16.24
2025-02-14,3.87
2025-02-15,13.51
2025-02-16,-9.41
2025-02-17,-6.66
2025-02-18,23.93
2025-02-19,17.98
2025-02-20,-6.87
2025-02-21,-19.64
2025-02-22,3.8
2025-02-23,10.37
2025-02-24,8.84
2025-02-25,-7.47
2025-02-26,-14.13
2025-02-27,13.26
2025-02-28,-8.47
2025-03-01,6.47
2025-03-02,-17.42
2025-03-03,25.38
2025-03-04,14.72
2025-03-05,21.17
2025-03-06,16.33
2025-03-07,20.85
2025-03-08,17.12
2025-03-09,10.44
2025-03-10,-4.74
2025-03-11,8.21
2025-03-12,5.38
2025-03-13,-13.55
2025-03-14,-0.46
2025-03-15,5.94
2025-03-16,-0.32
2025-03-17,8.77
2025-03-18,30.05
2025-03-19,-7.95
2025-03-20,0.97
2025-03-21,-1.85
