Date,Score
2024-12-30,-5.4
2024-12-31,-5.17
2025-01-01,-18.23
2025-01-02,-56.55
2025-01-03,-9.12
2025-01-04,-17.3
2025-01-05,-9.21
2025-01-06,26.46
2025-01-07,36.78
2025-01-08,18.57
2025-01-09,0.0
2025-01-10,12.1
2025-01-11,-4.96
2025-01-12,-14.29
2025-01-13,8.18
2025-01-14,9.1
2025-01-15,-25.57
2025-01-16,-4.15
2025-01-17,-3.01
2025-01-18,-9.1
2025-01-19,-15.8
2025-01-20,6.28
2025-01-21,-33.2
2025-01-22,-0.26
2025-01-23,19.95
2025-01-24,22.87
2025-01-25,-2.34
2025-01-26,-9.57
2025-01-27,-1.16
2025-01-28,34.31
2025-01-29,30.77
2025-01-30,-14.23
2025-01-31,-15.51
2025-02-01,-27.21
2025-02-02,-4.38
2025-02-03,-24.85
2025-02-04,25.98
2025-02-05,12.06
2025-02-06,17.3
2025-02-07,-1.74
2025-02-08,15.33
2025-02-09,6.03
2025-02-10,-7.62
2025-02-11,6.91
2025-02-12,-19.09
2025-02-13,-20.61
2025-02-14,-17.06
2025-02-15,-7.33
2025-02-16,-16.32
2025-02-17,-3.89
2025-02-18,6.58
2025-02-19,9.4
2025-02-20,-11.89
2025-02-21,-5.05
2025-02-22,0.0
2025-02-23,-33.85
2025-02-24,-18.23
2025-02-25,11.99
2025-02-26,36.6
2025-02-27,-5.76
2025-02-28,-14.56
2025-03-01,-1.32
2025-03-02,-18.46
2025-03-03,14.36
2025-03-04,6.7
2025-03-05,8.93
2025-03-06,6.85
2025-03-07,0.0
2025-03-08,29.19
2025-03-09,-3.57
2025-03-10,23.5
2025-03-11,40.78
2025-03-12,42.96
2025-03-13,51.75
2025-03-14,75.87
2025-03-15,0.0
2025-03-16,17.92
2025-03-17,0.0
2025-03-18,26.38
2025-03-19,-1.15
2025-03-20,35.76
2025-03-21,-9.07
