Date,Score
2024-12-30,0.0
2024-12-31,0.0
2025-01-01,0.0
2025-01-02,-14.78
2025-01-03,-44.88
2025-01-04,-46.99
2025-01-05,0.0
2025-01-06,-14.16
2025-01-07,-0.41
2025-01-08,16.74
2025-01-09,54.14
2025-01-10,51.35
2025-01-11,24.58
2025-01-12,0.0
2025-01-13,1.44
2025-01-14,51.81
2025-01-15,-9.57
2025-01-16,0.0
2025-01-17,0.0
2025-01-18,0.0
2025-01-19,0.0
2025-01-20,0.0
2025-01-21,0.0
2025-01-22,0.0
2025-01-23,-10.68
2025-01-24,0.0
2025-01-25,-48.26
2025-01-26,-17.83
2025-01-27,6.7
2025-01-28,13.99
2025-01-29,-21.12
2025-01-30,-44.08
2025-01-31,-13.77
2025-02-01,5.6
2025-02-02,-22.1
2025-02-03,-9.82
2025-02-04,9.34
2025-02-05,1.44
2025-02-06,-11.59
2025-02-07,1.39
2025-02-08,-0.21
2025-02-09,-22.48
2025-02-10,-11.72
2025-02-11,0.0
2025-02-12,0.94
2025-02-13,31.79
2025-02-14,-6.96
2025-02-15,0.0
2025-02-16,0.0
2025-02-17,1.69
2025-02-18,8.5
2025-02-19,-3.6
2025-02-20,18.99
2025-02-21,16.27
2025-02-22,-19.34
2025-02-23,-15.24
2025-02-24,44.28
2025-02-25,-4.6
2025-02-26,0.0
2025-02-27,-6.09
2025-02-28,6.5
2025-03-01,0.0
2025-03-02,-27.93
2025-03-03,-36.64
2025-03-04,2.61
2025-03-05,-29.3
2025-03-06,0.0
2025-03-07,-17.37
2025-03-08,-33.23
2025-03-09,0.0
2025-03-10,24.79
2025-03-11,-12.54
2025-03-12,-15.29
2025-03-13,4.04
2025-03-14,32.56
2025-03-15,30.67
2025-03-16,-9.92
2025-03-17,2.0
2025-03-18,-10.32
2025-03-19,-17.91
2025-03-20,27.74
2025-03-21,17.5
2025-03-22,-19.25
2025-03-23,8.96
2025-03-24,17.92
2025-03-25,0.0
