Date,Score
2024-12-30,19.16
2024-12-31,57.34
2025-01-01,23.57
2025-01-02,7.08
2025-01-03,-20.17
2025-01-04,0.28
2025-01-05,17.78
2025-01-06,6.81
2025-01-07,11.64
2025-01-08,36.3
2025-01-09,39.01
2025-01-10,13.13
2025-01-11,-1.48
2025-01-12,38.21
2025-01-13,-2.05
2025-01-14,-51.63
2025-01-15,-30.87
2025-01-16,53.86
2025-01-17,-5.93
2025-01-18,-10.43
2025-01-19,-1.84
2025-01-20,20.96
2025-01-21,22.04
2025-01-22,7.44
2025-01-23,-18.56
2025-01-24,7.01
2025-01-25,26.27
2025-01-26,-10.88
2025-01-27,-9.74
2025-01-28,20.65
2025-01-29,-29.61
2025-01-30,21.94
2025-01-31,7.7
2025-02-01,-13.25
2025-02-02,21.01
2025-02-03,35.37
2025-02-04,0.05
2025-02-05,6.25
2025-02-06,19.0
2025-02-07,21.6
2025-02-08,6.0
2025-02-09,31.21
2025-02-10,30.93
2025-02-11,24.44
2025-02-12,31.76
2025-02-13,11.48
2025-02-14,-18.94
2025-02-15,8.01
2025-02-16,-0.21
2025-02-17,12.16
2025-02-18,-7.37
2025-02-19,-28.02
2025-02-20,6.0
2025-02-21,13.7
2025-02-22,0.0
2025-02-23,2.87
2025-02-24,12.16
2025-02-25,-12.29
2025-02-26,15.21
2025-02-27,36.21
2025-02-28,32.68
2025-03-01,17.59
2025-03-02,-1.22
2025-03-03,43.76
2025-03-04,28.98
2025-03-05,-0.82
2025-03-06,13.65
2025-03-07,1.64
2025-03-08,8.02
2025-03-09,25.39
2025-03-10,-7.2
2025-03-11,-15.17
2025-03-12,1.47
2025-03-13,24.48
2025-03-14,28.85
2025-03-15,9.37
2025-03-16,-5.0
2025-03-17,19.24
2025-03-18,51.08
2025-03-19,12.79
2025-03-20,14.93
2025-03-21,15.9
