Date,Score
2024-12-30,2.03
2024-12-31,6.07
2025-01-01,-10.55
2025-01-02,8.36
2025-01-03,26.78
2025-01-04,15.45
2025-01-05,12.72
2025-01-06,-24.87
2025-01-07,-52.11
2025-01-08,-55.65
2025-01-09,11.01
2025-01-10,9.3
2025-01-11,1.65
2025-01-12,-21.85
2025-01-13,-7.0
2025-01-14,3.1
2025-01-15,-9.29
2025-01-16,-48.74
2025-01-17,16.34
2025-01-18,-33.16
2025-01-19,0.0
2025-01-20,12.94
2025-01-21,-11.86
2025-01-22,-1.13
2025-01-23,-9.38
2025-01-24,14.55
2025-01-25,19.66
2025-01-26,-9.17
2025-01-27,10.66
2025-01-28,10.67
2025-01-29,10.2
2025-01-30,4.12
2025-01-31,15.15
2025-02-01,21.77
2025-02-02,0.39
2025-02-03,-7.7
2025-02-04,38.76
2025-02-05,5.12
2025-02-06,-9.78
2025-02-07,5.18
2025-02-08,7.74
2025-02-09,-11.4
2025-02-10,19.07
2025-02-11,7.64
2025-02-12,-4.71
2025-02-13,18.2
2025-02-14,16.2
2025-02-15,-17.7
2025-02-16,11.04
2025-02-17,0.0
2025-02-18,0.0
2025-02-19,8.79
2025-02-20,0.0
2025-02-21,-8.62
2025-02-22,6.63
2025-02-23,27.61
2025-02-24,6.38
2025-02-25,-5.03
2025-02-26,0.0
2025-02-27,24.62
2025-02-28,-9.29
2025-03-01,-17.99
2025-03-02,26.54
2025-03-03,-24.76
2025-03-04,4.51
2025-03-05,12.96
2025-03-06,-1.34
2025-03-07,-27.19
2025-03-08,13.45
2025-03-09,-3.81
2025-03-10,3.63
2025-03-11,11.22
2025-03-12,-9.62
2025-03-13,-3.35
2025-03-14,-18.54
2025-03-15,10.47
2025-03-16,-7.15
2025-03-17,22.39
2025-03-18,-15.8
2025-03-19,0.65
2025-03-20,-18.37
2025-03-21,-18.35
2025-03-22,0.0
2025-03-23,4.98
2025-03-24,-12.8
2025-03-25,18.3
2025-03-26,8.9
2025-03-27,-19.94
2025-03-28,13.42
2025-03-29,0.0
2025-03-30,7.91
2025-03-31,16.86
2025-04-01,9.09
2025-04-02,-0.98
2025-04-03,-27.12
