Date,Score
2024-12-30,-11.45
2024-12-31,-16.28
2025-01-01,-7.03
2025-01-02,-6.47
2025-01-03,-15.4
2025-01-04,-17.87
2025-01-05,7.82
2025-01-06,9.83
2025-01-07,-17.78
2025-01-08,-40.87
2025-01-09,-24.76
2025-01-10,-41.47
2025-01-11,-51.11
2025-01-12,-44.84
2025-01-13,-14.97
2025-01-14,-11.42
2025-01-15,-7.37
2025-01-16,-8.16
2025-01-17,-0.75
2025-01-18,8.07
2025-01-19,-7.56
2025-01-20,-6.73
2025-01-21,-11.26
2025-01-22,17.28
2025-01-23,-5.96
2025-01-24,-20.67
2025-01-25,14.52
2025-01-26,-0.09
2025-01-27,-16.42
2025-01-28,6.58
2025-01-29,-9.27
2025-01-30,-33.17
2025-01-31,0.0
2025-02-01,4.73
2025-02-02,-9.51
2025-02-03,-17.18
2025-02-04,-21.24
2025-02-05,-9.61
2025-02-06,-27.32
2025-02-07,-23.16
2025-02-08,-18.1
2025-02-09,-12.63
2025-02-10,-14.28
2025-02-11,6.29
2025-02-12,-26.82
2025-02-13,3.67
2025-02-14,-24.87
2025-02-15,2.15
2025-02-16,-8.22
2025-02-17,-14.87
2025-02-18,-25.72
2025-02-19,-7.14
2025-02-20,-4.04
2025-02-21,-16.89
2025-02-22,-13.9
2025-02-23,-13.12
2025-02-24,-16.21
2025-02-25,-10.53
2025-02-26,-19.99
2025-02-27,-17.45
2025-02-28,12.37
2025-03-01,-13.47
2025-03-02,53.04
2025-03-03,-24.94
2025-03-04,-16.95
2025-03-05,-4.88
2025-03-06,-25.42
2025-03-07,6.94
2025-03-08,6.43
2025-03-09,12.21
2025-03-10,-15.78
2025-03-11,-0.13
2025-03-12,-18.57
2025-03-13,-12.39
2025-03-14,-8.67
2025-03-15,2.47
2025-03-16,9.67
2025-03-17,-17.0
2025-03-18,1.64
2025-03-19,18.09
2025-03-20,25.48
2025-03-21,0.0
