Date,Score
2024-12-30,-2.56
2024-12-31,6.65
2025-01-01,30.25
2025-01-02,16.37
2025-01-03,-9.79
2025-01-04,0.0
2025-01-05,19.88
2025-01-06,8.03
2025-01-07,11.46
2025-01-08,25.99
2025-01-09,47.01
2025-01-10,25.67
2025-01-11,-4.53
2025-01-12,36.03
2025-01-13,-1.47
2025-01-14,20.85
2025-01-15,27.76
2025-01-16,16.55
2025-01-17,7.23
2025-01-18,17.38
2025-01-19,10.85
2025-01-20,18.01
2025-01-21,2.92
2025-01-22,34.16
2025-01-23,8.23
2025-01-24,32.23
2025-01-25,7.01
2025-01-26,32.64
2025-01-27,0.2
2025-01-28,21.72
2025-01-29,8.11
2025-01-30,-10.58
2025-01-31,0.53
2025-02-01,18.13
2025-02-02,15.18
2025-02-03,-8.57
2025-02-04,-1.84
2025-02-05,9.29
2025-02-06,-5.8
2025-02-07,-7.92
2025-02-08,-0.06
2025-02-09,-14.18
2025-02-10,-26.37
2025-02-11,13.04
2025-02-12,17.98
2025-02-13,20.01
2025-02-14,0.0
2025-02-15,0.0
2025-02-16,8.56
2025-02-17,0.03
2025-02-18,-15.39
2025-02-19,13.15
2025-02-20,11.78
2025-02-21,-4.28
2025-02-22,-8.58
2025-02-23,0.0
2025-02-24,6.49
2025-02-25,13.58
2025-02-26,-4.33
2025-02-27,13.79
2025-02-28,35.51
2025-03-01,10.44
2025-03-02,6.15
2025-03-03,-1.75
2025-03-04,25.81
2025-03-05,5.36
2025-03-06,28.27
2025-03-07,-8.31
2025-03-08,11.1
2025-03-09,20.54
2025-03-10,21.49
2025-03-11,23.65
2025-03-12,-7.33
2025-03-13,7.7
2025-03-14,-5.57
2025-03-15,0.0
2025-03-16,-18.45
2025-03-17,31.74
2025-03-18,-8.74
2025-03-19,1.41
2025-03-20,1.25
2025-03-21,0.0
2025-03-22,1.3
2025-03-23,-8.18
2025-03-24,40.09
2025-03-25,9.11
2025-03-26,18.63
2025-03-27,-0.83
2025-03-28,15.63
2025-03-29,0.0
2025-03-30,-19.9
2025-03-31,20.72
2025-04-01,1.2
2025-04-02,22.34
2025-04-03,24.27
