Date,Score
2024-12-30,16.39
2024-12-31,6.63
2025-01-01,3.75
2025-01-02,-17.6
2025-01-03,-40.39
2025-01-04,-36.12
2025-01-05,-7.3
2025-01-06,26.61
2025-01-07,-36.66
2025-01-08,-35.72
2025-01-09,-40.17
2025-01-10,-25.02
2025-01-11,-39.3
2025-01-12,-44.76
2025-01-13,-1.06
2025-01-14,-33.95
2025-01-15,17.54
2025-01-16,50.27
2025-01-17,3.97
2025-01-18,1.86
2025-01-19,-15.51
2025-01-20,11.87
2025-01-21,-12.51
2025-01-22,-28.03
2025-01-23,-32.66
2025-01-24,26.79
2025-01-25,-1.03
2025-01-26,16.0
2025-01-27,1.91
2025-01-28,0.43
2025-01-29,6.18
2025-01-30,-15.91
2025-01-31,-2.68
2025-02-01,-9.68
2025-02-02,-15.29
2025-02-03,0.47
2025-02-04,-8.19
2025-02-05,3.78
2025-02-06,1.27
2025-02-07,7.09
2025-02-08,3.88
2025-02-09,-22.09
2025-02-10,-11.38
2025-02-11,21.94
2025-02-12,-60.29
2025-02-13,-18.92
2025-02-14,-22.85
2025-02-15,-27.94
2025-02-16,-38.95
2025-02-17,-14.12
2025-02-18,-13.19
2025-02-19,5.02
2025-02-20,-21.0
2025-02-21,-5.3
2025-02-22,-25.57
2025-02-23,-22.76
2025-02-24,-12.39
2025-02-25,-22.74
2025-02-26,-14.04
2025-02-27,2.89
2025-02-28,-14.05
2025-03-01,-1.37
2025-03-02,-9.36
2025-03-03,-19.79
2025-03-04,-26.6
2025-03-05,-10.63
2025-03-06,-10.88
2025-03-07,-55.66
2025-03-08,-32.6
2025-03-09,0.16
2025-03-10,-13.73
2025-03-11,-61.24
2025-03-12,-42.84
2025-03-13,-0.08
2025-03-14,34.73
2025-03-15,4.25
2025-03-16,-44.11
2025-03-17,-15.61
2025-03-18,-1.37
2025-03-19,-27.08
2025-03-20,4.13
2025-03-21,16.38
2025-03-22,11.26
2025-03-23,-21.59
2025-03-24,9.0
2025-03-25,1.84
2025-03-26,8.79
2025-03-27,-9.12
2025-03-28,-44.73
2025-03-29,-53.72
2025-03-30,-19.25
2025-03-31,-9.5
2025-04-01,8.14
2025-04-02,14.39
2025-04-03,-46.44
