Date,Score
2024-12-30,3.85
2024-12-31,-38.09
2025-01-01,-0.12
2025-01-02,12.62
2025-01-03,21.35
2025-01-04,-3.1
2025-01-05,-0.04
2025-01-06,-9.5
2025-01-07,5.92
2025-01-08,3.46
2025-01-09,-8.61
2025-01-10,-18.18
2025-01-11,0.0
2025-01-12,0.0
2025-01-13,0.0
2025-01-14,-13.08
2025-01-15,6.99
2025-01-16,41.25
2025-01-17,43.66
2025-01-18,0.0
2025-01-19,78.53
2025-01-20,31.73
2025-01-21,-12.78
2025-01-22,-1.73
2025-01-23,0.04
2025-01-24,3.09
2025-01-25,0.0
2025-01-26,-1.1
2025-01-27,24.54
2025-01-28,35.36
2025-01-29,-12.56
2025-01-30,-0.88
2025-01-31,-7.42
2025-02-01,-15.74
2025-02-02,20.68
2025-02-03,-18.92
2025-02-04,-26.85
2025-02-05,6.31
2025-02-06,-17.8
2025-02-07,5.23
2025-02-08,-7.07
2025-02-09,-9.55
2025-02-10,-2.4
2025-02-11,0.04
2025-02-12,-10.58
2025-02-13,7.85
2025-02-14,-0.43
2025-02-15,7.5
2025-02-16,7.85
2025-02-17,16.08
2025-02-18,-13.49
2025-02-19,13.4
2025-02-20,17.81
2025-02-21,0.0
2025-02-22,-11.99
2025-02-23,7.14
2025-02-24,31.63
2025-02-25,11.84
2025-02-26,3.12
2025-02-27,-3.34
2025-02-28,-2.1
2025-03-01,-10.67
2025-03-02,-0.44
2025-03-03,6.69
2025-03-04,-19.59
2025-03-05,30.15
2025-03-06,18.7
2025-03-07,-49.15
2025-03-08,-29.1
2025-03-09,2.52
2025-03-10,11.7
2025-03-11,23.26
2025-03-12,-18.9
2025-03-13,42.83
2025-03-14,7.85
2025-03-15,0.0
2025-03-16,-10.57
2025-03-17,-7.55
2025-03-18,-14.29
2025-03-19,46.72
2025-03-20,0.3
2025-03-21,-9.36
