Date,Score
2024-12-30,-7.87
2024-12-31,17.65
2025-01-01,8.71
2025-01-02,24.02
2025-01-03,7.96
2025-01-04,0.0
2025-01-05,13.24
2025-01-06,14.91
2025-01-07,3.28
2025-01-08,11.59
2025-01-09,16.79
2025-01-10,44.37
2025-01-11,27.74
2025-01-12,-4.7
2025-01-13,29.35
2025-01-14,21.39
2025-01-15,14.34
2025-01-16,-4.78
2025-01-17,7.44
2025-01-18,-45.76
2025-01-19,16.24
2025-01-20,41.65
2025-01-21,6.63
2025-01-22,2.46
2025-01-23,-0.93
2025-01-24,-28.2
2025-01-25,3.49
2025-01-26,5.3
2025-01-27,11.89
2025-01-28,-2.45
2025-01-29,9.93
2025-01-30,49.57
2025-01-31,43.26
2025-02-01,14.78
2025-02-02,12.48
2025-02-03,34.78
2025-02-04,12.0
2025-02-05,20.96
2025-02-06,21.35
2025-02-07,6.09
2025-02-08,33.72
2025-02-09,9.35
2025-02-10,1.1
2025-02-11,25.79
2025-02-12,0.0
2025-02-13,0.0
2025-02-14,46.47
2025-02-15,15.01
2025-02-16,7.62
2025-02-17,2.14
2025-02-18,24.06
2025-02-19,3.24
2025-02-20,23.38
2025-02-21,30.65
2025-02-22,27.23
2025-02-23,-29.51
2025-02-24,15.09
2025-02-25,16.12
2025-02-26,-2.57
2025-02-27,7.74
2025-02-28,7.78
2025-03-01,49.58
2025-03-02,-4.88
2025-03-03,25.8
2025-03-04,16.42
2025-03-05,14.23
2025-03-06,-28.34
2025-03-07,-3.83
2025-03-08,-1.36
2025-03-09,-66.05
2025-03-10,-5.24
2025-03-11,14.42
2025-03-12,20.83
2025-03-13,-10.82
2025-03-14,-0.9
2025-03-15,0.0
2025-03-16,-13.06
2025-03-17,25.82
2025-03-18,26.41
2025-03-19,19.69
2025-03-20,3.84
2025-03-21,19.94
