Date,Score
2024-12-30,9.58
2024-12-31,2.28
2025-01-01,9.06
2025-01-02,28.52
2025-01-03,-5.68
2025-01-04,-19.46
2025-01-05,0.0
2025-01-06,-7.06
2025-01-07,-0.96
2025-01-08,11.65
2025-01-09,12.47
2025-01-10,17.3
2025-01-11,22.14
2025-01-12,19.23
2025-01-13,7.47
2025-01-14,22.15
2025-01-15,-10.3
2025-01-16,3.62
2025-01-17,19.14
2025-01-18,0.0
2025-01-19,24.42
2025-01-20,-3.28
2025-01-21,-9.44
2025-01-22,17.86
2025-01-23,16.99
2025-01-24,2.45
2025-01-25,22.24
2025-01-26,36.06
2025-01-27,0.05
2025-01-28,-9.53
2025-01-29,-6.65
2025-01-30,-44.46
2025-01-31,-8.65
2025-02-01,11.54
2025-02-02,0.58
2025-02-03,-2.67
2025-02-04,-30.11
2025-02-05,-21.72
2025-02-06,11.24
2025-02-07,-15.2
2025-02-08,-0.76
2025-02-09,-15.97
2025-02-10,16.88
2025-02-11,-0.26
2025-02-12,7.3
2025-02-13,-18.79
2025-02-14,-50.07
2025-02-15,-9.94
2025-02-16,-63.63
2025-02-17,-11.69
2025-02-18,11.93
2025-02-19,-1.84
2025-02-20,-16.16
2025-02-21,-26.04
2025-02-22,-14.8
2025-02-23,-3.54
2025-02-24,9.86
2025-02-25,13.97
2025-02-26,33.73
2025-02-27,14.01
2025-02-28,-19.98
2025-03-01,-23.27
2025-03-02,13.56
2025-03-03,-17.65
2025-03-04,1.55
2025-03-05,-32.14
2025-03-06,27.63
2025-03-07,-34.21
2025-03-08,7.69
2025-03-09,-27.95
2025-03-10,0.0
2025-03-11,52.19
2025-03-12,16.91
2025-03-13,24.8
2025-03-14,-7.45
2025-03-15,-82.04
2025-03-16,26.94
2025-03-17,-26.59
2025-03-18,-45.63
2025-03-19,-6.4
2025-03-20,-21.62
2025-03-21,-4.28
2025-03-22,-6.53
2025-03-23,-18.91
2025-03-24,-25.18
2025-03-25,56.1
