Date,Score
2024-12-30,-18.66
2024-12-31,0.71
2025-01-01,-27.08
2025-01-02,-13.13
2025-01-03,8.74
2025-01-04,-8.17
2025-01-05,-7.69
2025-01-06,15.02
2025-01-07,15.68
2025-01-08,0.0
2025-01-09,13.87
2025-01-10,-13.39
2025-01-11,9.4
2025-01-12,17.23
2025-01-13,-27.13
2025-01-14,5.61
2025-01-15,2.12
2025-01-16,3.02
2025-01-17,13.89
2025-01-18,-2.11
2025-01-19,-0.66
2025-01-20,-13.58
2025-01-21,-25.26
2025-01-22,-28.13
2025-01-23,9.32
2025-01-24,-9.14
2025-01-25,19.01
2025-01-26,25.14
2025-01-27,-9.53
2025-01-28,11.64
2025-01-29,18.27
2025-01-30,-27.56
2025-01-31,9.34
2025-02-01,-16.96
2025-02-02,-13.72
2025-02-03,4.39
2025-02-04,-57.05
2025-02-05,-8.43
2025-02-06,7.38
2025-02-07,1.89
2025-02-08,8.26
2025-02-09,-9.08
2025-02-10,-10.11
2025-02-11,8.24
2025-02-12,-19.6
2025-02-13,-6.39
2025-02-14,-15.28
2025-02-15,-7.48
2025-02-16,-28.63
2025-02-17,9.89
2025-02-18,-1.98
2025-02-19,-1.63
2025-02-20,-7.45
2025-02-21,-8.92
2025-02-22,0.0
2025-02-23,-0.85
2025-02-24,-30.69
2025-02-25,-18.59
2025-02-26,-9.79
2025-02-27,-20.7
2025-02-28,-9.41
2025-03-01,-80.02
2025-03-02,-35.9
2025-03-03,-24.12
2025-03-04,-1.3
2025-03-05,-18.5
2025-03-06,-16.26
2025-03-07,3.74
2025-03-08,0.0
2025-03-09,2.02
2025-03-10,-16.5
2025-03-11,-11.19
2025-03-12,-14.77
2025-03-13,-33.22
2025-03-14,18.41
2025-03-15,2.55
2025-03-16,-11.12
2025-03-17,-2.07
2025-03-18,-8.27
2025-03-19,-16.76
2025-03-20,12.78
2025-03-21,7.05
2025-03-22,-17.91
2025-03-23,5.6
2025-03-24,7.22
2025-03-25,7.71
2025-03-26,-11.45
2025-03-27,-20.27
2025-03-28,-29.6
2025-03-29,16.92
2025-03-30,-11.19
2025-03-31,17.24
2025-04-01,9.36
2025-04-02,0.0
2025-04-03,-23.28
