Date,Score
2024-12-30,1.78
2024-12-31,15.4
2025-01-01,-6.13
2025-01-02,-27.49
2025-01-03,7.71
2025-01-04,16.31
2025-01-05,0.0
2025-01-06,0.0
2025-01-07,-6.57
2025-01-08,0.0
2025-01-09,4.61
2025-01-10,9.78
2025-01-11,-21.74
2025-01-12,-42.28
2025-01-13,7.77
2025-01-14,8.71
2025-01-15,0.0
2025-01-16,-9.52
2025-01-17,5.23
2025-01-18,-9.24
2025-01-19,0.0
2025-01-20,2.17
2025-01-21,66.89
2025-01-22,36.64
2025-01-23,-1.16
2025-01-24,-8.73
2025-01-25,0.0
2025-01-26,-9.22
2025-01-27,0.0
2025-01-28,-2.32
2025-01-29,8.65
2025-01-30,0.0
2025-01-31,8.25
2025-02-01,-9.3
2025-02-02,7.94
2025-02-03,7.75
2025-02-04,13.37
2025-02-05,-5.01
2025-02-06,0.0
2025-02-07,-14.72
2025-02-08,0.0
2025-02-09,-7.12
2025-02-10,-15.67
2025-02-11,0.0
2025-02-12,0.0
2025-02-13,7.3
2025-02-14,-8.16
2025-02-15,0.0
2025-02-16,0.0
2025-02-17,0.0
2025-02-18,-26.71
2025-02-19,3.03
2025-02-20,0.0
2025-02-21,-10.5
2025-02-22,-9.43
2025-02-23,-5.16
2025-02-24,0.0
2025-02-25,-12.05
2025-02-26,9.37
2025-02-27,0.0
2025-02-28,-6.61
2025-03-01,0.0
2025-03-02,-16.03
2025-03-03,0.0
2025-03-04,-9.02
2025-03-05,2.97
2025-03-06,-9.1
2025-03-07,-9.08
2025-03-08,-14.67
2025-03-09,-22.24
2025-03-10,-9.69
2025-03-11,-13.0
2025-03-12,-16.54
2025-03-13,-1.55
2025-03-14,9.47
2025-03-15,-7.97
2025-03-16,-9.04
2025-03-17,13.56
2025-03-18,-31.99
2025-03-19,-23.12
2025-03-20,-7.96
2025-03-21,-7.5
2025-03-22,-27.51
2025-03-23,-6.33
2025-03-24,0.0
2025-03-25,16.25
2025-03-26,0.0
2025-03-27,-8.09
2025-03-28,0.0
2025-03-29,-8.85
2025-03-30,-4.89
2025-03-31,2.55
2025-04-01,-6.37
2025-04-02,-0.78
2025-04-03,0.0
