Date,Score
2024-12-30,0.0
2024-12-31,0.0
2025-01-01,-6.33
2025-01-02,8.99
2025-01-03,0.0
2025-01-04,-7.67
2025-01-05,-8.79
2025-01-06,7.47
2025-01-07,16.03
2025-01-08,7.19
2025-01-09,-18.7
2025-01-10,-1.07
2025-01-11,-8.78
2025-01-12,9.53
2025-01-13,15.38
2025-01-14,-6.61
2025-01-15,6.51
2025-01-16,-1.42
2025-01-17,-7.89
2025-01-18,0.0
2025-01-19,18.54
2025-01-20,5.18
2025-01-21,0.0
2025-01-22,-8.69
2025-01-23,-5.71
2025-01-24,0.0
2025-01-25,0.0
2025-01-26,-7.3
2025-01-27,-16.59
2025-01-28,-8.76
2025-01-29,-9.54
2025-01-30,0.0
2025-01-31,7.42
2025-02-01,0.0
2025-02-02,-8.48
2025-02-03,0.0
2025-02-04,0.0
2025-02-05,-0.72
2025-02-06,7.92
2025-02-07,-18.99
2025-02-08,9.45
2025-02-09,14.97
2025-02-10,6.17
2025-02-11,6.39
2025-02-12,-17.54
2025-02-13,-6.52
2025-02-14,-1.86
2025-02-15,0.0
2025-02-16,-8.55
2025-02-17,0.0
2025-02-18,-6.94
2025-02-19,7.92
2025-02-20,4.97
2025-02-21,0.0
2025-02-22,6.93
2025-02-23,3.43
2025-02-24,11.49
2025-02-25,-18.37
2025-02-26,-24.3
2025-02-27,8.88
2025-02-28,5.98
2025-03-01,-8.01
2025-03-02,21.77
2025-03-03,0.0
2025-03-04,7.38
2025-03-05,16.37
2025-03-06,-0.47
2025-03-07,-5.39
2025-03-08,0.0
2025-03-09,9.21
2025-03-10,-12.12
2025-03-11,-8.45
2025-03-12,24.4
2025-03-13,17.47
2025-03-14,-14.68
2025-03-15,-15.42
2025-03-16,-1.78
2025-03-17,-0.87
2025-03-18,6.5
2025-03-19,-9.73
2025-03-20,-54.59
2025-03-21,-47.25
