Date,Score
2024-12-30,78.69
2024-12-31,29.91
2025-01-01,0.0
2025-01-02,-7.6
2025-01-03,9.03
2025-01-04,-1.08
2025-01-05,34.28
2025-01-06,12.5
2025-01-07,27.69
2025-01-08,-9.48
2025-01-09,27.33
2025-01-10,-8.17
2025-01-11,0.0
2025-01-12,0.0
2025-01-13,42.11
2025-01-14,33.5
2025-01-15,-46.62
2025-01-16,-33.66
2025-01-17,0.41
2025-01-18,94.79
2025-01-19,0.0
2025-01-20,-48.55
2025-01-21,-35.53
2025-01-22,-4.97
2025-01-23,15.54
2025-01-24,0.0
2025-01-25,-24.54
2025-01-26,0.0
2025-01-27,5.28
2025-01-28,18.0
2025-01-29,-4.96
2025-01-30,63.48
2025-01-31,54.7
2025-02-01,63.84
2025-02-02,-16.75
2025-02-03,-19.48
2025-02-04,-1.36
2025-02-05,39.11
2025-02-06,0.0
2025-02-07,-8.91
2025-02-08,-10.81
2025-02-09,0.0
2025-02-10,21.82
2025-02-11,36.48
2025-02-12,0.81
2025-02-13,8.92
2025-02-14,25.05
2025-02-15,13.62
2025-02-16,29.8
2025-02-17,20.58
2025-02-18,-3.61
2025-02-19,25.28
2025-02-20,6.91
2025-02-21,0.0
2025-02-22,40.51
2025-02-23,39.92
2025-02-24,16.8
2025-02-25,-29.87
2025-02-26,17.21
2025-02-27,-10.98
2025-02-28,35.33
2025-03-01,17.48
2025-03-02,29.93
2025-03-03,14.03
2025-03-04,16.23
2025-03-05,32.39
2025-03-06,37.21
2025-03-07,-11.65
2025-03-08,0.0
2025-03-09,81.94
2025-03-10,36.51
2025-03-11,-2.82
2025-03-12,0.81
2025-03-13,20.15
2025-03-14,14.44
2025-03-15,0.0
2025-03-16,0.0
2025-03-17,-5.8
2025-03-18,-41.85
2025-03-19,11.31
2025-03-20,38.93
2025-03-21,22.98
2025-03-22,5.37
2025-03-23,12.57
2025-03-24,-8.53
2025-03-25,5.03
