Date,Score
2024-12-30,1.84
2024-12-31,14.62
2025-01-01,-2.87
2025-01-02,17.9
2025-01-03,-14.5
2025-01-04,43.18
2025-01-05,-1.21
2025-01-06,-6.41
2025-01-07,6.84
2025-01-08,24.17
2025-01-09,25.27
2025-01-10,0.85
2025-01-11,0.0
2025-01-12,43.29
2025-01-13,-2.76
2025-01-14,-11.57
2025-01-15,3.04
2025-01-16,16.8
2025-01-17,-14.75
2025-01-18,-25.27
2025-01-19,-0.72
2025-01-20,57.97
2025-01-21,27.81
2025-01-22,12.01
2025-01-23,28.79
2025-01-24,23.84
2025-01-25,11.01
2025-01-26,-31.27
2025-01-27,-27.67
2025-01-28,49.6
2025-01-29,19.75
2025-01-30,-1.09
2025-01-31,1.38
2025-02-01,6.34
2025-02-02,12.56
2025-02-03,-6.97
2025-02-04,-14.86
2025-02-05,34.09
2025-02-06,13.01
2025-02-07,16.45
2025-02-08,17.38
2025-02-09,-21.31
2025-02-10,-18.68
2025-02-11,-8.09
2025-02-12,3.31
2025-02-13,-7.24
2025-02-14,-20.8
2025-02-15,-25.16
2025-02-16,-23.41
2025-02-17,-48.39
2025-02-18,-20.54
2025-02-19,-19.22
2025-02-20,-11.07
2025-02-21,-20.42
2025-02-22,-30.31
2025-02-23,-16.71
2025-02-24,33.88
2025-02-25,-9.65
2025-02-26,-8.29
2025-02-27,-8.69
2025-02-28,-5.88
2025-03-01,-22.91
2025-03-02,0.91
2025-03-03,-0.02
2025-03-04,-13.03
2025-03-05,-29.36
2025-03-06,-25.17
2025-03-07,-25.88
2025-03-08,-13.42
2025-03-09,-30.54
2025-03-10,-72.46
2025-03-11,-10.0
2025-03-12,-46.17
2025-03-13,-7.79
2025-03-14,-17.8
2025-03-15,0.0
2025-03-16,0.0
2025-03-17,10.22
2025-03-18,-12.21
2025-03-19,-43.07
2025-03-20,-0.79
2025-03-21,-0.59
2025-03-22,-8.33
2025-03-23,-5.62
2025-03-24,30.12
2025-03-25,28.6
