Date,Score
2024-12-30,5.55
2024-12-31,0.0
2025-01-01,-24.23
2025-01-02,27.47
2025-01-03,28.32
2025-01-04,18.45
2025-01-05,23.77
2025-01-06,6.38
2025-01-07,9.16
2025-01-08,-3.92
2025-01-09,28.58
2025-01-10,5.35
2025-01-11,15.55
2025-01-12,9.06
2025-01-13,14.74
2025-01-14,-9.83
2025-01-15,1.9
2025-01-16,14.28
2025-01-17,10.41
2025-01-18,14.34
2025-01-19,21.7
2025-01-20,-1.21
2025-01-21,16.18
2025-01-22,4.63
2025-01-23,-5.61
2025-01-24,-8.37
2025-01-25,5.8
2025-01-26,-56.81
2025-01-27,-66.32
2025-01-28,-26.32
2025-01-29,-27.92
2025-01-30,19.47
2025-01-31,15.61
2025-02-01,-18.39
2025-02-02,-15.97
2025-02-03,-21.56
2025-02-04,-18.8
2025-02-05,26.03
2025-02-06,8.6
2025-02-07,-19.51
2025-02-08,-17.64
2025-02-09,-1.12
2025-02-10,-4.69
2025-02-11,-2.91
2025-02-12,-21.81
2025-02-13,17.87
2025-02-14,4.49
2025-02-15,-1.33
2025-02-16,15.96
2025-02-17,-2.97
2025-02-18,-7.01
2025-02-19,11.4
2025-02-20,-0.24
2025-02-21,-15.12
2025-02-22,-11.67
2025-02-23,-0.51
2025-02-24,-41.63
2025-02-25,-10.88
2025-02-26,12.53
2025-02-27,-12.96
2025-02-28,15.77
2025-03-01,9.29
2025-03-02,-10.37
2025-03-03,-53.42
2025-03-04,20.34
2025-03-05,-24.16
2025-03-06,-44.87
2025-03-07,1.72
2025-03-08,-1.54
2025-03-09,-3.18
2025-03-10,5.09
2025-03-11,-17.31
2025-03-12,9.85
2025-03-13,-3.01
2025-03-14,34.26
2025-03-15,9.3
2025-03-16,14.03
2025-03-17,-23.14
2025-03-18,16.61
2025-03-19,27.84
2025-03-20,-17.27
2025-03-21,18.26
2025-03-22,-7.09
2025-03-23,-20.82
2025-03-24,39.51
2025-03-25,-25.37
2025-03-26,-55.63
2025-03-27,-23.08
2025-03-28,-20.69
2025-03-29,-16.26
2025-03-30,4.29
2025-03-31,-20.47
2025-04-01,-2.99
2025-04-02,-13.06
2025-04-03,-23.15
