Date,Score
2024-12-30,-10.65
2024-12-31,9.52
2025-01-01,10.48
2025-01-02,21.92
2025-01-03,11.15
2025-01-04,-95.4
2025-01-05,0.0
2025-01-06,-4.61
2025-01-07,-4.75
2025-01-08,8.21
2025-01-09,-3.76
2025-01-10,-24.02
2025-01-11,-11.61
2025-01-12,-19.27
2025-01-13,7.33
2025-01-14,-6.95
2025-01-15,8.99
2025-01-16,-4.43
2025-01-17,-65.24
2025-01-18,-71.45
2025-01-19,-16.01
2025-01-20,-30.08
2025-01-21,-25.82
2025-01-22,-5.07
2025-01-23,-19.27
2025-01-24,9.08
2025-01-25,-11.1
2025-01-26,-7.16
2025-01-27,7.33
2025-01-28,-0.29
2025-01-29,12.36
2025-01-30,-10.53
2025-01-31,5.49
2025-02-01,9.1
2025-02-02,-19.88
2025-02-03,2.41
2025-02-04,-34.82
2025-02-05,-43.25
2025-02-06,17.74
2025-02-07,0.39
2025-02-08,7.09
2025-02-09,11.92
2025-02-10,-10.6
2025-02-11,28.26
2025-02-12,0.0
2025-02-13,7.84
2025-02-14,-21.67
2025-02-15,1.97
2025-02-16,-3.4
2025-02-17,5.31
2025-02-18,6.95
2025-02-19,-27.31
2025-02-20,-5.75
2025-02-21,-42.51
2025-02-22,-24.49
2025-02-23,-5.37
2025-02-24,-20.91
2025-02-25,-31.24
2025-02-26,-41.83
2025-02-27,-39.59
2025-02-28,-21.74
2025-03-01,-19.31
2025-03-02,-9.67
2025-03-03,-14.61
2025-03-04,-13.77
2025-03-05,12.46
2025-03-06,7.8
2025-03-07,-25.3
2025-03-08,4.55
2025-03-09,9.52
2025-03-10,-4.86
2025-03-11,15.52
2025-03-12,-4.15
2025-03-13,-1.58
2025-03-14,41.18
2025-03-15,8.03
2025-03-16,-4.97
2025-03-17,6.28
2025-03-18,37.75
2025-03-19,6.84
2025-03-20,6.08
2025-03-21,-7.05
