Date,Score
2024-12-30,-42.39
2024-12-31,-43.36
2025-01-01,9.47
2025-01-02,-26.26
2025-01-03,14.9
2025-01-04,-26.91
2025-01-05,-21.66
2025-01-06,-8.9
2025-01-07,4.75
2025-01-08,-18.07
2025-01-09,-36.73
2025-01-10,7.17
2025-01-11,-25.81
2025-01-12,0.0
2025-01-13,0.0
2025-01-14,9.03
2025-01-15,11.6
2025-01-16,-27.52
2025-01-17,-0.97
2025-01-18,17.15
2025-01-19,22.57
2025-01-20,15.35
2025-01-21,16.26
2025-01-22,-8.58
2025-01-23,-3.46
2025-01-24,-22.07
2025-01-25,34.25
2025-01-26,0.0
2025-01-27,17.46
2025-01-28,4.9
2025-01-29,-8.43
2025-01-30,13.63
2025-01-31,-16.27
2025-02-01,29.23
2025-02-02,4.65
2025-02-03,44.29
2025-02-04,21.81
2025-02-05,18.78
2025-02-06,23.62
2025-02-07,3.31
2025-02-08,19.85
2025-02-09,-8.45
2025-02-10,52.41
2025-02-11,45.08
2025-02-12,50.36
2025-02-13,59.2
2025-02-14,-10.36
2025-02-15,-16.72
2025-02-16,-3.21
2025-02-17,9.4
2025-02-18,4.79
2025-02-19,-23.99
2025-02-20,-22.27
2025-02-21,-39.0
2025-02-22,-13.54
2025-02-23,50.26
2025-02-24,12.02
2025-02-25,-33.83
2025-02-26,-15.38
2025-02-27,8.08
2025-02-28,-10.89
2025-03-01,-9.5
2025-03-02,-23.85
2025-03-03,23.79
2025-03-04,22.63
2025-03-05,1.29
2025-03-06,-26.86
2025-03-07,-18.9
2025-03-08,-20.9
2025-03-09,11.01
2025-03-10,-24.28
2025-03-11,12.23
2025-03-12,-8.2
2025-03-13,-16.4
2025-03-14,5.95
2025-03-15,0.0
2025-03-16,0.62
2025-03-17,17.17
2025-03-18,-5.8
2025-03-19,23.79
2025-03-20,28.12
2025-03-21,-0.82
