Date,Score
2024-12-30,0.0
2024-12-31,-12.06
2025-01-01,0.0
2025-01-02,12.27
2025-01-03,2.7
2025-01-04,0.0
2025-01-05,0.0
2025-01-06,0.0
2025-01-07,3.08
2025-01-08,-23.18
2025-01-09,-23.65
2025-01-10,-27.55
2025-01-11,-91.96
2025-01-12,44.72
2025-01-13,0.0
2025-01-14,-12.08
2025-01-15,18.71
2025-01-16,11.67
2025-01-17,-0.91
2025-01-18,40.22
2025-01-19,0.0
2025-01-20,31.67
2025-01-21,-7.2
2025-01-22,32.39
2025-01-23,29.91
2025-01-24,0.0
2025-01-25,17.75
2025-01-26,22.9
2025-01-27,11.17
2025-01-28,16.35
2025-01-29,-18.29
2025-01-30,0.0
2025-01-31,-9.73
2025-02-01,14.72
2025-02-02,-6.84
2025-02-03,7.78
2025-02-04,20.43
2025-02-05,9.45
2025-02-06,60.47
2025-02-07,30.31
2025-02-08,5.61
2025-02-09,20.63
2025-02-10,26.55
2025-02-11,27.87
2025-02-12,11.3
2025-02-13,16.3
2025-02-14,-8.61
2025-02-15,0.56
2025-02-16,9.68
2025-02-17,-3.59
2025-02-18,-1.95
2025-02-19,26.2
2025-02-20,42.92
2025-02-21,15.72
2025-02-22,12.89
2025-02-23,0.0
2025-02-24,-20.53
2025-02-25,0.0
2025-02-26,-2.68
2025-02-27,11.35
2025-02-28,-11.76
2025-03-01,17.37
2025-03-02,-1.18
2025-03-03,6.94
2025-03-04,7.24
2025-03-05,-17.16
2025-03-06,28.57
2025-03-07,-13.51
2025-03-08,21.07
2025-03-09,15.89
2025-03-10,-28.59
2025-03-11,-10.82
2025-03-12,18.43
2025-03-13,15.42
2025-03-14,-13.85
2025-03-15,0.0
2025-03-16,21.26
2025-03-17,0.0
2025-03-18,6.79
2025-03-19,0.25
2025-03-20,0.0
2025-03-21,11.38
