Date,Score
2024-12-30,-9.28
2024-12-31,-17.33
2025-01-01,4.58
2025-01-02,-16.6
2025-01-03,49.56
2025-01-04,31.58
2025-01-05,36.86
2025-01-06,32.74
2025-01-07,36.22
2025-01-08,17.78
2025-01-09,19.36
2025-01-10,39.78
2025-01-11,9.25
2025-01-12,6.47
2025-01-13,18.49
2025-01-14,23.39
2025-01-15,24.14
2025-01-16,43.05
2025-01-17,19.85
2025-01-18,20.69
2025-01-19,34.58
2025-01-20,16.23
2025-01-21,-10.02
2025-01-22,23.71
2025-01-23,19.76
2025-01-24,51.95
2025-01-25,33.67
2025-01-26,37.46
2025-01-27,13.9
2025-01-28,12.22
2025-01-29,18.35
2025-01-30,0.0
2025-01-31,18.32
2025-02-01,5.12
2025-02-02,15.13
2025-02-03,15.65
2025-02-04,26.85
2025-02-05,9.07
2025-02-06,-0.2
2025-02-07,-17.61
2025-02-08,-0.19
2025-02-09,21.88
2025-02-10,17.84
2025-02-11,28.9
2025-02-12,25.95
2025-02-13,8.56
2025-02-14,0.92
2025-02-15,-18.67
2025-02-16,-2.22
2025-02-17,30.43
2025-02-18,12.58
2025-02-19,2.7
2025-02-20,22.93
2025-02-21,20.7
2025-02-22,12.18
2025-02-23,23.92
2025-02-24,27.11
2025-02-25,1.89
2025-02-26,30.04
2025-02-27,25.74
2025-02-28,15.23
2025-03-01,6.39
2025-03-02,19.86
2025-03-03,-11.0
2025-03-04,-0.67
2025-03-05,2.15
2025-03-06,31.44
2025-03-07,3.54
2025-03-08,-9.45
2025-03-09,11.69
2025-03-10,49.87
2025-03-11,20.91
2025-03-12,16.36
2025-03-13,42.15
2025-03-14,35.07
2025-03-15,16.3
2025-03-16,24.86
2025-03-17,24.07
2025-03-18,19.77
2025-03-19,44.08
2025-03-20,36.51
2025-03-21,-10.07
