Date,Score
2024-12-30,0.0
2024-12-31,22.74
2025-01-01,17.62
2025-01-02,-7.08
2025-01-03,0.58
2025-01-04,33.85
2025-01-05,-28.69
2025-01-06,-16.21
2025-01-07,5.06
2025-01-08,12.36
2025-01-09,41.51
2025-01-10,-17.87
2025-01-11,-11.66
2025-01-12,15.56
2025-01-13,15.83
2025-01-14,-5.98
2025-01-15,19.72
2025-01-16,22.81
2025-01-17,-17.94
2025-01-18,-20.09
2025-01-19,18.7
2025-01-20,-24.7
2025-01-21,5.11
2025-01-22,5.61
2025-01-23,-25.2
2025-01-24,-7.79
2025-01-25,-5.03
2025-01-26,8.75
2025-01-27,24.38
2025-01-28,11.93
2025-01-29,-11.56
2025-01-30,15.67
2025-01-31,-41.8
2025-02-01,34.07
2025-02-02,11.7
2025-02-03,2.16
2025-02-04,7.11
2025-02-05,-8.57
2025-02-06,4.72
2025-02-07,6.73
2025-02-08,-7.32
2025-02-09,39.7
2025-02-10,15.91
2025-02-11,3.3
2025-02-12,8.51
2025-02-13,8.2
2025-02-14,-4.93
2025-02-15,-34.85
2025-02-16,0.0
2025-02-17,-4.88
2025-02-18,-13.86
2025-02-19,6.78
2025-02-20,-30.56
2025-02-21,-25.1
2025-02-22,-3.96
2025-02-23,-18.72
2025-02-24,-38.03
2025-02-25,16.63
2025-02-26,-27.13
2025-02-27,43.99
2025-02-28,-21.27
2025-03-01,-3.57
2025-03-02,-10.4
2025-03-03,21.87
2025-03-04,-29.74
2025-03-05,-4.08
2025-03-06,46.57
2025-03-07,-64.91
2025-03-08,-4.28
2025-03-09,-4.38
2025-03-10,-31.49
2025-03-11,-38.67
2025-03-12,-21.45
2025-03-13,-33.49
2025-03-14,-21.81
2025-03-15,16.54
2025-03-16,0.11
2025-03-17,9.98
2025-03-18,0.23
2025-03-19,-5.56
2025-03-20,-3.36
2025-03-21,17.98
