Date,Score
2024-12-30,3.63
2024-12-31,-9.44
2025-01-01,27.41
2025-01-02,-4.37
2025-01-03,-1.52
2025-01-04,0.0
2025-01-05,-8.07
2025-01-06,36.34
2025-01-07,18.86
2025-01-08,11.03
2025-01-09,39.89
2025-01-10,20.29
2025-01-11,-2.96
2025-01-12,-6.38
2025-01-13,-13.51
2025-01-14,15.4
2025-01-15,15.04
2025-01-16,-7.31
2025-01-17,15.87
2025-01-18,28.61
2025-01-19,22.95
2025-01-20,10.88
2025-01-21,21.63
2025-01-22,7.0
2025-01-23,-7.99
2025-01-24,-0.15
2025-01-25,10.08
2025-01-26,15.36
2025-01-27,8.53
2025-01-28,16.88
2025-01-29,5.2
2025-01-30,35.16
2025-01-31,7.12
2025-02-01,16.98
2025-02-02,-5.22
2025-02-03,-72.61
2025-02-04,-95.51
2025-02-05,-18.98
2025-02-06,-40.36
2025-02-07,-16.64
2025-02-08,-1.98
2025-02-09,-9.63
2025-02-10,-7.73
2025-02-11,26.0
2025-02-12,23.76
2025-02-13,-17.69
2025-02-14,-3.2
2025-02-15,8.56
2025-02-16,1.91
2025-02-17,17.25
2025-02-18,26.14
2025-02-19,37.17
2025-02-20,29.13
2025-02-21,17.44
2025-02-22,-1.36
2025-02-23,10.79
2025-02-24,39.85
2025-02-25,55.84
2025-02-26,-53.33
2025-02-27,-36.19
2025-02-28,42.34
2025-03-01,-27.37
2025-03-02,-24.73
2025-03-03,21.99
2025-03-04,-0.27
2025-03-05,-12.96
2025-03-06,-43.17
2025-03-07,-27.63
2025-03-08,14.1
2025-03-09,-9.05
2025-03-10,-1.56
2025-03-11,15.14
2025-03-12,30.7
2025-03-13,5.69
2025-03-14,5.43
2025-03-15,11.24
2025-03-16,36.73
2025-03-17,8.31
2025-03-18,9.06
2025-03-19,23.51
2025-03-20,14.53
2025-03-21,8.94
2025-03-22,8.03
2025-03-23,21.31
2025-03-24,-0.24
2025-03-25,-21.57
