Date,Score
2024-12-30,0.0
2024-12-31,-20.2
2025-01-01,45.66
2025-01-02,45.26
2025-01-03,-39.29
2025-01-04,0.0
2025-01-05,0.0
2025-01-06,13.63
2025-01-07,15.44
2025-01-08,26.56
2025-01-09,40.25
2025-01-10,-12.68
2025-01-11,8.96
2025-01-12,85.66
2025-01-13,32.75
2025-01-14,11.45
2025-01-15,-3.07
2025-01-16,14.58
2025-01-17,15.18
2025-01-18,-44.45
2025-01-19,53.64
2025-01-20,47.65
2025-01-21,-15.23
2025-01-22,-13.65
2025-01-23,-1.63
2025-01-24,-15.73
2025-01-25,88.97
2025-01-26,29.61
2025-01-27,-7.23
2025-01-28,29.06
2025-01-29,-1.89
2025-01-30,46.28
2025-01-31,43.39
2025-02-01,19.12
2025-02-02,26.87
2025-02-03,22.66
2025-02-04,6.96
2025-02-05,30.48
2025-02-06,-2.26
2025-02-07,13.63
2025-02-08,-46.36
2025-02-09,1.67
2025-02-10,33.6
2025-02-11,25.78
2025-02-12,-21.05
2025-02-13,-56.31
2025-02-14,17.42
2025-02-15,0.0
2025-02-16,34.71
2025-02-17,34.68
2025-02-18,29.09
2025-02-19,8.61
2025-02-20,-20.04
2025-02-21,-17.9
2025-02-22,18.47
2025-02-23,18.19
2025-02-24,34.68
2025-02-25,1.48
2025-02-26,24.52
2025-02-27,40.07
2025-02-28,8.8
2025-03-01,31.56
2025-03-02,19.83
2025-03-03,21.63
2025-03-04,12.31
2025-03-05,2.03
2025-03-06,50.6
2025-03-07,1.32
2025-03-08,67.23
2025-03-09,-10.72
2025-03-10,34.87
2025-03-11,52.87
2025-03-12,-31.13
2025-03-13,49.27
2025-03-14,32.89
2025-03-15,88.18
2025-03-16,0.0
2025-03-17,23.92
2025-03-18,9.94
2025-03-19,-9.54
2025-03-20,40.97
2025-03-21,7.01
