Date,Score
2024-12-30,28.57
2024-12-31,30.08
2025-01-01,19.37
2025-01-02,6.22
2025-01-03,-0.31
2025-01-04,0.0
2025-01-05,22.44
2025-01-06,23.84
2025-01-07,23.62
2025-01-08,25.95
2025-01-09,16.11
2025-01-10,14.93
2025-01-11,-26.32
2025-01-12,29.33
2025-01-13,6.82
2025-01-14,15.95
2025-01-15,0.58
2025-01-16,16.17
2025-01-17,-9.28
2025-01-18,19.37
2025-01-19,-19.08
2025-01-20,18.2
2025-01-21,7.88
2025-01-22,30.81
2025-01-23,5.22
2025-01-24,8.73
2025-01-25,24.53
2025-01-26,0.78
2025-01-27,25.98
2025-01-28,25.51
2025-01-29,18.0
2025-01-30,2.28
2025-01-31,24.87
2025-02-01,-0.58
2025-02-02,15.52
2025-02-03,23.02
2025-02-04,19.71
2025-02-05,7.74
2025-02-06,8.1
2025-02-07,-0.52
2025-02-08,12.62
2025-02-09,3.81
2025-02-10,44.03
2025-02-11,31.78
2025-02-12,13.53
2025-02-13,11.16
2025-02-14,-3.17
2025-02-15,9.46
2025-02-16,32.95
2025-02-17,7.31
2025-02-18,35.25
2025-02-19,32.38
2025-02-20,15.46
2025-02-21,7.34
2025-02-22,10.93
2025-02-23,25.67
2025-02-24,-1.43
2025-02-25,3.06
2025-02-26,15.06
2025-02-27,27.67
2025-02-28,11.57
2025-03-01,17.51
2025-03-02,26.26
2025-03-03,13.62
2025-03-04,27.43
2025-03-05,-5.3
2025-03-06,9.21
2025-03-07,-9.72
2025-03-08,18.72
2025-03-09,16.51
2025-03-10,-1.25
2025-03-11,21.71
2025-03-12,12.12
2025-03-13,15.76
2025-03-14,18.29
2025-03-15,9.89
2025-03-16,-13.37
2025-03-17,0.0
2025-03-18,6.66
2025-03-19,2.8
2025-03-20,-11.61
2025-03-21,11.97
2025-03-22,-9.33
2025-03-23,36.87
2025-03-24,21.02
2025-03-25,25.34
2025-03-26,9.08
2025-03-27,-3.95
2025-03-28,7.35
2025-03-29,-9.03
2025-03-30,-0.46
2025-03-31,16.84
2025-04-01,28.1
2025-04-02,8.27
2025-04-03,25.2
