Date,Score
2024-12-30,7.98
2024-12-31,17.37
2025-01-01,13.19
2025-01-02,19.66
2025-01-03,-20.39
2025-01-04,6.26
2025-01-05,-7.68
2025-01-06,-57.59
2025-01-07,-75.68
2025-01-08,-47.38
2025-01-09,-14.2
2025-01-10,19.02
2025-01-11,-19.36
2025-01-12,17.55
2025-01-13,18.18
2025-01-14,-3.31
2025-01-15,-0.29
2025-01-16,4.97
2025-01-17,20.11
2025-01-18,0.0
2025-01-19,-7.51
2025-01-20,-3.78
2025-01-21,14.76
2025-01-22,28.09
2025-01-23,0.97
2025-01-24,17.03
2025-01-25,0.0
2025-01-26,20.71
2025-01-27,8.68
2025-01-28,1.96
2025-01-29,43.36
2025-01-30,9.45
2025-01-31,1.01
2025-02-01,-17.07
2025-02-02,-9.12
2025-02-03,9.46
2025-02-04,-0.37
2025-02-05,12.04
2025-02-06,14.68
2025-02-07,4.32
2025-02-08,2.02
2025-02-09,0.0
2025-02-10,17.65
2025-02-11,14.15
2025-02-12,8.81
2025-02-13,7.46
2025-02-14,0.0
2025-02-15,0.0
2025-02-16,11.81
2025-02-17,8.79
2025-02-18,7.98
2025-02-19,-17.96
2025-02-20,25.63
2025-02-21,52.71
2025-02-22,9.96
2025-02-23,-2.25
2025-02-24,5.63
2025-02-25,13.57
2025-02-26,-10.9
2025-02-27,-4.3
2025-02-28,23.53
2025-03-01,-42.64
2025-03-02,-1.49
2025-03-03,-3.82
2025-03-04,-17.22
2025-03-05,5.97
2025-03-06,-9.84
2025-03-07,6.97
2025-03-08,-16.55
2025-03-09,7.67
2025-03-10,-18.16
2025-03-11,-27.61
2025-03-12,-19.95
2025-03-13,41.41
2025-03-14,-24.13
2025-03-15,28.07
2025-03-16,8.7
2025-03-17,-8.68
2025-03-18,12.01
2025-03-19,17.98
2025-03-20,18.99
2025-03-21,13.83
2025-03-22,1.02
2025-03-23,-4.95
2025-03-24,-17.5
2025-03-25,24.81
