Date,Score
2024-12-30,-0.71
2024-12-31,33.72
2025-01-01,6.71
2025-01-02,5.71
2025-01-03,14.36
2025-01-04,0.0
2025-01-05,-19.48
2025-01-06,6.15
2025-01-07,17.25
2025-01-08,18.86
2025-01-09,23.34
2025-01-10,-9.38
2025-01-11,0.0
2025-01-12,3.81
2025-01-13,16.74
2025-01-14,30.73
2025-01-15,20.72
2025-01-16,-26.13
2025-01-17,-2.72
2025-01-18,0.0
2025-01-19,7.69
2025-01-20,0.0
2025-01-21,6.64
2025-01-22,0.97
2025-01-23,-22.42
2025-01-24,-57.18
2025-01-25,-68.09
2025-01-26,-24.54
2025-01-27,-15.98
2025-01-28,2.88
2025-01-29,0.0
2025-01-30,-9.46
2025-01-31,-19.17
2025-02-01,27.71
2025-02-02,-1.32
2025-02-03,5.78
2025-02-04,4.68
2025-02-05,4.69
2025-02-06,-24.98
2025-02-07,1.79
2025-02-08,24.59
2025-02-09,-4.32
2025-02-10,7.42
2025-02-11,-9.62
2025-02-12,15.3
2025-02-13,16.67
2025-02-14,-19.21
2025-02-15,9.26
2025-02-16,0.0
2025-02-17,-21.44
2025-02-18,9.54
2025-02-19,-14.34
2025-02-20,9.14
2025-02-21,34.59
2025-02-22,0.0
2025-02-23,-4.36
2025-02-24,6.59
2025-02-25,-0.06
2025-02-26,8.34
2025-02-27,16.95
2025-02-28,-24.1
2025-03-01,-1.53
2025-03-02,10.12
2025-03-03,2.55
2025-03-04,31.79
2025-03-05,-16.93
2025-03-06,18.29
2025-03-07,1.22
2025-03-08,0.0
2025-03-09,25.79
2025-03-10,-8.74
2025-03-11,25.88
2025-03-12,-0.17
2025-03-13,-0.05
2025-03-14,13.79
2025-03-15,18.46
2025-03-16,0.0
2025-03-17,28.67
2025-03-18,15.72
2025-03-19,27.05
2025-03-20,9.36
2025-03-21,32.57
