Date,Score
2024-12-30,6.54
2024-12-31,-13.87
2025-01-01,19.03
2025-01-02,7.85
2025-01-03,13.08
2025-01-04,48.31
2025-01-05,24.08
2025-01-06,0.0
2025-01-07,-7.79
2025-01-08,18.5
2025-01-09,-9.68
2025-01-10,31.91
2025-01-11,0.0
2025-01-12,25.25
2025-01-13,32.77
2025-01-14,21.38
2025-01-15,23.38
2025-01-16,17.37
2025-01-17,10.4
2025-01-18,0.0
2025-01-19,9.39
2025-01-20,8.3
2025-01-21,1.53
2025-01-22,-13.58
2025-01-23,-8.96
2025-01-24,9.75
2025-01-25,-11.1
2025-01-26,15.82
2025-01-27,5.95
2025-01-28,23.31
2025-01-29,5.42
2025-01-30,2.88
2025-01-31,0.0
2025-02-01,10.94
2025-02-02,5.35
2025-02-03,4.48
2025-02-04,3.9
2025-02-05,18.5
2025-02-06,8.69
2025-02-07,9.28
2025-02-08,16.19
2025-02-09,-4.0
2025-02-10,7.77
2025-02-11,0.0
2025-02-12,46.69
2025-02-13,7.09
2025-02-14,10.87
2025-02-15,8.23
2025-02-16,18.02
2025-02-17,65.99
2025-02-18,57.22
2025-02-19,23.92
2025-02-20,24.66
2025-02-21,-7.46
2025-02-22,13.99
2025-02-23,-0.99
2025-02-24,-17.13
2025-02-25,17.59
2025-02-26,12.09
2025-02-27,15.89
2025-02-28,14.56
2025-03-01,-37.49
2025-03-02,12.19
2025-03-03,5.23
2025-03-04,18.16
2025-03-05,37.61
2025-03-06,5.31
2025-03-07,0.0
2025-03-08,-7.47
2025-03-09,9.27
2025-03-10,12.88
2025-03-11,24.52
2025-03-12,31.09
2025-03-13,39.51
2025-03-14,26.15
2025-03-15,-67.26
2025-03-16,34.24
2025-03-17,29.2
2025-03-18,-1.24
2025-03-19,9.45
2025-03-20,18.9
2025-03-21,30.41
2025-03-22,19.04
2025-03-23,28.08
2025-03-24,0.0
2025-03-25,9.14
2025-03-26,30.39
2025-03-27,31.41
2025-03-28,5.31
2025-03-29,-0.3
2025-03-30,30.61
2025-03-31,14.62
2025-04-01,26.28
2025-04-02,17.83
2025-04-03,24.08
