Date,Score
2024-12-30,6.24
2024-12-31,-36.4
2025-01-01,-6.77
2025-01-02,-5.5
2025-01-03,2.84
2025-01-04,6.54
2025-01-05,0.91
2025-01-06,32.73
2025-01-07,25.75
2025-01-08,7.51
2025-01-09,33.15
2025-01-10,-9.34
2025-01-11,3.49
2025-01-12,-9.73
2025-01-13,31.87
2025-01-14,11.62
2025-01-15,10.3
2025-01-16,22.09
2025-01-17,25.63
2025-01-18,23.82
2025-01-19,24.12
2025-01-20,-1.89
2025-01-21,-4.54
2025-01-22,-2.71
2025-01-23,9.5
2025-01-24,0.22
2025-01-25,-5.51
2025-01-26,-8.59
2025-01-27,-6.24
2025-01-28,6.02
2025-01-29,17.32
2025-01-30,24.45
2025-01-31,10.5
2025-02-01,2.95
2025-02-02,13.71
2025-02-03,-11.35
2025-02-04,-6.13
2025-02-05,35.19
2025-02-06,-5.12
2025-02-07,-1.14
2025-02-08,-21.94
2025-02-09,13.28
2025-02-10,16.11
2025-02-11,-3.48
2025-02-12,-22.11
2025-02-13,-3.92
2025-02-14,-0.92
2025-02-15,8.22
2025-02-16,-31.8
2025-02-17,-19.32
2025-02-18,7.36
2025-02-19,10.32
2025-02-20,-13.98
2025-02-21,4.02
2025-02-22,5.7
2025-02-23,14.31
2025-02-24,-13.92
2025-02-25,-31.35
2025-02-26,8.89
2025-02-27,17.72
2025-02-28,12.79
2025-03-01,4.11
2025-03-02,-9.45
2025-03-03,-9.25
2025-03-04,17.11
2025-03-05,7.25
2025-03-06,-0.39
2025-03-07,-0.07
2025-03-08,-9.58
2025-03-09,-0.25
2025-03-10,-18.61
2025-03-11,32.71
2025-03-12,8.11
2025-03-13,3.63
2025-03-14,5.6
2025-03-15,-8.82
2025-03-16,6.41
2025-03-17,6.73
2025-03-18,13.32
2025-03-19,-1.04
2025-03-20,23.67
2025-03-21,5.6
2025-03-22,-14.17
2025-03-23,-11.84
2025-03-24,5.57
2025-03-25,5.0
2025-03-26,-8.93
2025-03-27,23.78
2025-03-28,-31.67
2025-03-29,-6.66
2025-03-30,-34.25
2025-03-31,10.62
2025-04-01,25.79
2025-04-02,25.8
2025-04-03,15.21
