Date,Score
2024-12-30,-19.47
2024-12-31,-5.44
2025-01-01,-30.0
2025-01-02,-21.27
2025-01-03,-19.36
2025-01-04,-7.05
2025-01-05,-36.1
2025-01-06,-26.18
2025-01-07,-42.92
2025-01-08,-30.48
2025-01-09,-56.02
2025-01-10,-31.07
2025-01-11,15.31
2025-01-12,-3.77
2025-01-13,-9.24
2025-01-14,-40.82
2025-01-15,-11.45
2025-01-16,26.26
2025-01-17,-14.3
2025-01-18,-0.25
2025-01-19,-74.59
2025-01-20,-7.45
2025-01-21,-2.36
2025-01-22,-8.54
2025-01-23,0.0
2025-01-24,-44.23
2025-01-25,-19.77
2025-01-26,-17.78
2025-01-27,-27.33
2025-01-28,15.85
2025-01-29,-49.17
2025-01-30,-25.31
2025-01-31,-22.2
2025-02-01,-7.82
2025-02-02,-41.75
2025-02-03,-43.25
2025-02-04,-43.89
2025-02-05,-65.17
2025-02-06,-12.14
2025-02-07,-29.93
2025-02-08,-18.49
2025-02-09,4.67
2025-02-10,-33.55
2025-02-11,-36.23
2025-02-12,-0.1
2025-02-13,-26.41
2025-02-14,-37.92
2025-02-15,0.89
2025-02-16,-4.01
2025-02-17,-15.06
2025-02-18,-34.42
2025-02-19,-37.65
2025-02-20,-29.45
2025-02-21,-73.39
2025-02-22,-63.36
2025-02-23,-58.985
2025-02-24,-54.61
2025-02-25,-51.16
2025-02-26,-25.64
2025-02-27,-34.26
2025-02-28,-44.0
2025-03-01,13.94
2025-03-02,-2.47
2025-03-03,-49.33
2025-03-04,21.23
2025-03-05,-18.15
2025-03-06,15.01
2025-03-07,7.95
2025-03-08,-15.52
2025-03-09,9.95
2025-03-10,-50.9
2025-03-11,-43.28
2025-03-12,-0.78
2025-03-13,-22.12
2025-03-14,-23.55
2025-03-15,0.0
2025-03-16,0.0
2025-03-17,0.0
2025-03-18,0.0
2025-03-19,-9.92
2025-03-20,13.92
2025-03-21,-14.63
