Date,Score
2024-12-30,-8.03
2024-12-31,-20.71
2025-01-01,-21.0
2025-01-02,-12.9
2025-01-03,-8.33
2025-01-04,1.48
2025-01-05,-9.3
2025-01-06,14.51
2025-01-07,-21.23
2025-01-08,19.41
2025-01-09,6.99
2025-01-10,-23.7
2025-01-11,7.78
2025-01-12,13.66
2025-01-13,34.93
2025-01-14,-4.75
2025-01-15,-26.12
2025-01-16,-3.31
2025-01-17,-5.43
2025-01-18,10.2
2025-01-19,11.61
2025-01-20,-0.69
2025-01-21,-2.5
2025-01-22,9.33
2025-01-23,6.69
2025-01-24,15.23
2025-01-25,2.94
2025-01-26,7.33
2025-01-27,5.87
2025-01-28,-30.23
2025-01-29,23.44
2025-01-30,-69.78
2025-01-31,-42.82
2025-02-01,-25.15
2025-02-02,14.16
2025-02-03,-14.92
2025-02-04,9.41
2025-02-05,-1.16
2025-02-06,-33.85
2025-02-07,17.95
2025-02-08,-32.9
2025-02-09,9.03
2025-02-10,0.0
2025-02-11,-15.07
2025-02-12,-4.78
2025-02-13,3.16
2025-02-14,-34.02
2025-02-15,2.69
2025-02-16,0.0
2025-02-17,-16.59
2025-02-18,19.46
2025-02-19,-25.8
2025-02-20,0.35
2025-02-21,-2.0
2025-02-22,1.5
2025-02-23,4.57
2025-02-24,-52.42
2025-02-25,-51.29
2025-02-26,-8.32
2025-02-27,-28.26
2025-02-28,-13.25
2025-03-01,-22.74
2025-03-02,7.0
2025-03-03,-11.84
2025-03-04,-33.45
2025-03-05,-32.54
2025-03-06,-1.76
2025-03-07,-20.23
2025-03-08,-16.47
2025-03-09,-10.13
2025-03-10,-12.05
2025-03-11,-14.94
2025-03-12,-26.35
2025-03-13,9.02
2025-03-14,-9.31
2025-03-15,17.52
2025-03-16,0.0
2025-03-17,0.0
2025-03-18,0.0
2025-03-19,15.27
2025-03-20,-5.68
2025-03-21,6.82
