Date,Score
2024-12-30,-23.14
2024-12-31,-36.31
2025-01-01,-14.41
2025-01-02,-40.26
2025-01-03,-7.0
2025-01-04,22.3
2025-01-05,-9.06
2025-01-06,-9.47
2025-01-07,7.38
2025-01-08,8.9
2025-01-09,39.55
2025-01-10,-9.79
2025-01-11,9.52
2025-01-12,-5.06
2025-01-13,26.38
2025-01-14,16.81
2025-01-15,1.58
2025-01-16,3.09
2025-01-17,-5.57
2025-01-18,-18.5
2025-01-19,0.0
2025-01-20,0.54
2025-01-21,1.3
2025-01-22,-17.76
2025-01-23,14.25
2025-01-24,67.69
2025-01-25,-9.39
2025-01-26,12.96
2025-01-27,29.85
2025-01-28,-21.45
2025-01-29,8.1
2025-01-30,18.59
2025-01-31,27.3
2025-02-01,-4.22
2025-02-02,27.89
2025-02-03,13.85
2025-02-04,19.28
2025-02-05,28.97
2025-02-06,-2.45
2025-02-07,11.25
2025-02-08,16.61
2025-02-09,9.19
2025-02-10,-0.83
2025-02-11,-4.7
2025-02-12,6.79
2025-02-13,12.31
2025-02-14,-6.87
2025-02-15,-25.12
2025-02-16,-5.45
2025-02-17,-17.98
2025-02-18,15.94
2025-02-19,-14.32
2025-02-20,-14.33
2025-02-21,15.65
2025-02-22,-8.86
2025-02-23,4.1
2025-02-24,17.06
2025-02-25,-9.42
2025-02-26,9.11
2025-02-27,-17.75
2025-02-28,-21.27
2025-03-01,0.49
2025-03-02,-10.71
2025-03-03,22.83
2025-03-04,31.5
2025-03-05,9.01
2025-03-06,-10.37
2025-03-07,7.26
2025-03-08,4.94
2025-03-09,15.74
2025-03-10,8.86
2025-03-11,-80.08
2025-03-12,1.23
2025-03-13,-21.83
2025-03-14,-32.84
2025-03-15,-14.64
2025-03-16,0.0
2025-03-17,0.0
2025-03-18,0.0
2025-03-19,16.0
2025-03-20,21.49
2025-03-21,6.0
2025-03-22,0.0
2025-03-23,-9.14
2025-03-24,-5.72
2025-03-25,3.64
