Date,Score
2024-12-30,-3.25
2024-12-31,-26.79
2025-01-01,-9.16
2025-01-02,-6.61
2025-01-03,9.73
2025-01-04,-17.88
2025-01-05,9.65
2025-01-06,-9.55
2025-01-07,-11.58
2025-01-08,-20.9
2025-01-09,6.29
2025-01-10,-16.15
2025-01-11,0.31
2025-01-12,-28.78
2025-01-13,5.22
2025-01-14,11.96
2025-01-15,2.71
2025-01-16,19.27
2025-01-17,3.07
2025-01-18,-9.53
2025-01-19,-6.54
2025-01-20,1.98
2025-01-21,-9.53
2025-01-22,-8.6
2025-01-23,0.28
2025-01-24,-11.61
2025-01-25,-5.9
2025-01-26,-35.07
2025-01-27,-50.08
2025-01-28,29.58
2025-01-29,-15.34
2025-01-30,41.57
2025-01-31,15.23
2025-02-01,-7.68
2025-02-02,-5.07
2025-02-03,-29.87
2025-02-04,-0.55
2025-02-05,-12.36
2025-02-06,-2.68
2025-02-07,-13.95
2025-02-08,-10.56
2025-02-09,-46.57
2025-02-10,18.77
2025-02-11,0.93
2025-02-12,-8.05
2025-02-13,-29.43
2025-02-14,-14.03
2025-02-15,-25.59
2025-02-16,8.33
2025-02-17,-7.31
2025-02-18,-9.41
2025-02-19,-5.04
2025-02-20,-17.01
2025-02-21,-9.14
2025-02-22,19.77
2025-02-23,-2.4499999999999993
2025-02-24,-24.67
2025-02-25,-17.01
2025-02-26,36.24
2025-02-27,11.78
2025-02-28,-4.21
2025-03-01,2.52
2025-03-02,7.0
2025-03-03,-2.09
2025-03-04,2.19
2025-03-05,-39.37
2025-03-06,-27.68
2025-03-07,-9.82
2025-03-08,-22.03
2025-03-09,-36.35
2025-03-10,-16.92
2025-03-11,16.43
2025-03-12,-18.73
2025-03-13,12.67
2025-03-14,-41.83
2025-03-15,-27.95
2025-03-16,0.0
2025-03-17,0.0
2025-03-18,0.0
2025-03-19,-35.89
2025-03-20,-35.21
2025-03-21,-37.75
2025-03-22,-8.59
2025-03-23,-16.87
2025-03-24,-32.7
2025-03-25,-32.56
