Date,Score
2024-12-30,-11.34
2024-12-31,-41.26
2025-01-01,-8.23
2025-01-02,-38.56
2025-01-03,-65.33
2025-01-04,-50.77
2025-01-05,-52.25
2025-01-06,-54.15
2025-01-07,-45.8
2025-01-08,-3.73
2025-01-09,-1.15
2025-01-10,-23.59
2025-01-11,3.08
2025-01-12,-38.03
2025-01-13,-29.5
2025-01-14,-25.55
2025-01-15,-6.4
2025-01-16,13.52
2025-01-17,-24.45
2025-01-18,-19.98
2025-01-19,-19.29
2025-01-20,-26.93
2025-01-21,-26.85
2025-01-22,-33.85
2025-01-23,4.28
2025-01-24,-12.6
2025-01-25,-12.81
2025-01-26,6.46
2025-01-27,-20.69
2025-01-28,-11.29
2025-01-29,-14.11
2025-01-30,-1.15
2025-01-31,-13.85
2025-02-01,-20.18
2025-02-02,-27.27
2025-02-03,-1.37
2025-02-04,-68.02
2025-02-05,-53.54
2025-02-06,-44.18
2025-02-07,-6.25
2025-02-08,-7.81
2025-02-09,5.09
2025-02-10,-33.62
2025-02-11,-70.89
2025-02-12,-50.74
2025-02-13,-6.61
2025-02-14,-34.01
2025-02-15,-18.4
2025-02-16,-46.74
2025-02-17,7.79
2025-02-18,-7.79
2025-02-19,7.25
2025-02-20,-29.96
2025-02-21,-5.98
2025-02-22,-48.36
2025-02-23,-33.415
2025-02-24,-18.47
2025-02-25,-24.35
2025-02-26,-31.63
2025-02-27,-8.89
2025-02-28,-33.9
2025-03-01,-51.24
2025-03-02,-9.89
2025-03-03,-55.19
2025-03-04,-24.3
2025-03-05,10.91
2025-03-06,-47.92
2025-03-07,-32.5
2025-03-08,-79.21
2025-03-09,-27.78
2025-03-10,-47.14
2025-03-11,-15.49
2025-03-12,-10.4
2025-03-13,-41.53
2025-03-14,-35.65
2025-03-15,-21.31
2025-03-16,0.0
2025-03-17,0.0
2025-03-18,0.0
2025-03-19,-3.5
2025-03-20,-23.35
2025-03-21,-28.53
2025-03-22,-51.64
2025-03-23,-7.99
2025-03-24,8.37
2025-03-25,-15.8
