Date,Score
2024-12-30,0.0
2024-12-31,-17.1
2025-01-01,-7.46
2025-01-02,-9.43
2025-01-03,2.09
2025-01-04,-13.37
2025-01-05,5.99
2025-01-06,14.12
2025-01-07,-9.01
2025-01-08,-32.22
2025-01-09,5.77
2025-01-10,2.14
2025-01-11,-0.77
2025-01-12,-12.09
2025-01-13,-2.71
2025-01-14,-9.77
2025-01-15,0.0
2025-01-16,0.0
2025-01-17,6.17
2025-01-18,-18.0
2025-01-19,26.11
2025-01-20,0.0
2025-01-21,-4.78
2025-01-22,6.12
2025-01-23,-0.78
2025-01-24,-8.77
2025-01-25,0.0
2025-01-26,-5.14
2025-01-27,1.1
2025-01-28,-4.87
2025-01-29,6.36
2025-01-30,-8.78
2025-01-31,9.03
2025-02-01,1.05
2025-02-02,-6.84
2025-02-03,-0.39
2025-02-04,-35.05
2025-02-05,51.87
2025-02-06,22.66
2025-02-07,-18.79
2025-02-08,9.78
2025-02-09,9.31
2025-02-10,-28.1
2025-02-11,-17.6
2025-02-12,-15.99
2025-02-13,-10.19
2025-02-14,-8.62
2025-02-15,7.85
2025-02-16,-12.13
2025-02-17,0.0
2025-02-18,-22.32
2025-02-19,-18.16
2025-02-20,0.0
2025-02-21,-8.85
2025-02-22,-0.59
2025-02-23,-0.295
2025-02-24,0.0
2025-02-25,0.3
2025-02-26,0.0
2025-02-27,-18.73
2025-02-28,0.0
2025-03-01,13.01
2025-03-02,8.99
2025-03-03,2.57
2025-03-04,-12.16
2025-03-05,-31.05
2025-03-06,-23.59
2025-03-07,-0.57
2025-03-08,0.47
2025-03-09,-9.66
2025-03-10,14.82
2025-03-11,-15.02
2025-03-12,0.0
2025-03-13,-11.97
2025-03-14,-0.71
2025-03-15,-6.5
2025-03-16,0.0
2025-03-17,0.0
2025-03-18,0.0
2025-03-19,7.63
2025-03-20,-11.93
2025-03-21,-9.4
2025-03-22,-51.19
2025-03-23,-28.77
2025-03-24,-11.03
2025-03-25,-26.49
