Date,Price
2024-06-04,38529.86743264926
2024-06-05,38759.913390117945
2024-06-06,59800.270577078634
2024-06-07,76045.05434295596
2024-06-08,79778.87719110244
2024-06-09,67719.16026687085
2024-06-10,78168.5554888169
2024-06-11,83123.39149584188
2024-06-12,93864.7681253472
2024-06-13,85795.46377105787
2024-06-14,95422.00229898338
2024-06-15,88777.21329671095
2024-06-16,87476.5688448705
2024-06-17,97350.84917314886
2024-06-18,98589.55817490509
2024-06-19,111198.20014534044
2024-06-20,117046.32230105627
2024-06-21,109967.98514817032
2024-06-22,100801.53853517896
2024-06-23,101757.11405081878
2024-06-24,94517.03689398758
2024-06-25,76891.97738329983
2024-06-26,80415.92753486232
2024-06-27,82087.12293666179
2024-06-28,71748.85760800896
2024-06-29,60268.856496598906
2024-06-30,49555.439298841215
2024-07-01,49468.021835006635
2024-07-02,54881.53408953873
2024-07-03,54881.53408953873
2024-07-04,54881.53408953873
2024-07-05,64681.49187770642
2024-07-06,75941.00278680578
2024-07-07,89403.29221788741
2024-07-08,92745.32910462157
2024-07-09,100182.18403430484
2024-07-10,113312.49945290976
2024-07-11,118444.29388875247
2024-07-12,98872.69166101348
2024-07-13,98377.2080603158
2024-07-14,100111.40066276972
2024-07-15,95864.39837103977
2024-07-16,113984.94148243322
2024-07-17,125345.67261282068
2024-07-18,152491.0955941433
2024-07-19,167107.86181485734
2024-07-20,141165.75614951938
2024-07-21,139006.86331788683
2024-07-22,146509.9006999514
2024-07-23,144492.57461138107
2024-07-24,146191.37552807145
2024-07-25,149376.62724687092
2024-07-26,136671.01205743657
2024-07-27,128495.53264584858
2024-07-28,149659.7607329873
2024-07-29,150013.67759063083
2024-07-30,136883.36217202587
2024-07-31,142121.33166515923
2024-08-01,139254.6051182397
2024-08-02,149093.49376075453
2024-08-03,143607.78246726832
2024-08-04,158259.9403737459
2024-08-05,169160.5795891912
2024-08-06,214568.1124249695
2024-08-07,233502.66430894058
2024-08-08,222495.85003620462
2024-08-09,189298.448789155
2024-08-10,179317.99340358598
2024-08-11,185193.01324047922
2024-08-12,192873.0090513695
2024-08-13,193687.01782394716
2024-08-14,178574.76800253542
2024-08-15,166081.50292768236
2024-08-16,155888.69742752405
2024-08-17,143360.04066691548
2024-08-18,115754.5257706507
2024-08-19,124354.70541140926
2024-08-20,106658.86252919442
2024-08-21,101704.02652216944
2024-08-22,99120.43346136634
2024-08-23,107720.6131021249
2024-08-24,92997.67182412023
2024-08-25,90520.25382060776
2024-08-26,86697.95175804838
2024-08-27,80575.19012080229
2024-08-28,83335.74161043119
2024-08-29,85176.10927017574
2024-08-30,78097.77211728982
2024-08-31,81672.33237949632
2024-09-01,76080.44602871947
2024-09-02,72151.96890886949
2024-09-03,73815.37813979633
2024-09-04,80469.01506351164
2024-09-05,82804.86632396192
2024-09-06,70311.60124911685
2024-09-07,81601.54900796922
2024-09-08,77850.03031693696
2024-09-09,82238.59935172912
2024-09-10,86910.30187263769
2024-09-11,75195.65388460673
2024-09-12,66312.34075773177
2024-09-13,63410.222525048666
2024-09-14,65073.631755975504
2024-09-15,59587.92046248933
2024-09-16,55801.0100856935
2024-09-17,50952.34913596717
2024-09-18,49749.0318199745
2024-09-19,43838.62029731529
2024-09-20,41502.76903686183
2024-09-21,35521.57414267233
2024-09-22,28655.587104370883
2024-09-23,26602.869330033773
2024-09-24,27487.661474144134
2024-09-25,29009.50396201519
2024-09-26,37291.158430893825
2024-09-27,56154.92694333699
2024-09-28,44758.80412719398
2024-09-29,44440.27895531404
2024-09-30,44546.45401260468
2024-10-01,48404.1477609276
2024-10-02,45254.28772789169
2024-10-03,39839.359805933396
2024-10-04,40087.10160628465
2024-10-05,47342.39718799714
2024-10-06,46139.079872004426
2024-10-07,44546.45401260468
2024-10-08,46068.296500477336
2024-10-09,47979.447531757025
2024-10-10,58349.21146073307
2024-10-11,71408.7435078109
2024-10-12,66984.78278725519
2024-10-13,56119.53525757344
2024-10-14,61605.246551059616
2024-10-15,74983.30377001743
2024-10-16,70842.47653557811
2024-10-17,70276.20956335335
2024-10-18,61888.38003717605
2024-10-19,56898.15234439554
2024-10-20,51129.30756479297
2024-10-21,42352.16949520864
2024-10-22,37538.900231245076
2024-10-23,30991.438364823567
2024-10-24,31345.355222467875
2024-10-25,25611.90212862881
2024-10-26,38742.21754723615
2024-10-27,39591.61800558214
2024-10-28,32796.4143388102
2024-10-29,44829.58749872107
2024-10-30,41431.98566533309
2024-10-31,43024.61152473284
2024-11-01,46563.780101175005
2024-11-02,52828.10848148331
2024-11-03,54031.425797476026
2024-11-04,59906.44563436927
2024-11-05,62950.13061011454
2024-11-06,61145.15463612549
2024-11-07,70028.46776300046
2024-11-08,88963.01964697156
2024-11-09,94873.43116963637
2024-11-10,113365.5869815511
2024-11-11,99385.87110460497
2024-11-12,102199.51012287517
2024-11-13,104924.66992673249
2024-11-14,97032.32400126892
2024-11-15,87830.48570251398
2024-11-16,89635.461676495
2024-11-17,101951.76832252232
2024-11-18,94236.38082587648
2024-11-19,86344.03490040489
2024-11-20,83141.08733872767
2024-11-21,71426.43935069667
2024-11-22,69532.98416229476
2024-11-23,58101.46966038022
2024-11-24,52615.758366894006
2024-11-25,44404.887269542465
2024-11-26,45024.24177042461
2024-11-27,39839.359805933396
2024-11-28,34424.43188397427
2024-11-29,31504.617808407824
2024-11-30,28319.366089608327
2024-12-01,25293.37695674887
2024-12-02,34212.08176938738
2024-12-03,39043.04687623352
2024-12-04,40600.2810498689
2024-12-05,41998.252637564336
2024-12-06,56243.40615774984
2024-12-07,46351.42998659373
2024-12-08,37715.85866006678
2024-12-09,34389.0401982099
2024-12-10,26461.302586975577
2024-12-11,25364.160328278333
2024-12-12,16976.33080210587
2024-12-13,25151.81021369145
2024-12-14,27912.361703317947
2024-12-15,30460.563078357518
2024-12-16,24408.584812638514
2024-12-17,29681.945991539393
2024-12-18,41520.4648797444
2024-12-19,34796.04458450115
2024-12-20,31982.405566227757
2024-12-21,38919.17597605789
2024-12-22,35079.17807061677
2024-12-23,26213.560786624326
2024-12-24,38140.558889240594
2024-12-25,37627.379445656334
2024-12-26,33433.464682570084
2024-12-27,35220.744813674144
2024-12-28,34742.95705585421
2024-12-29,27452.269788379766
2024-12-30,28814.84969031083
2024-12-31,41007.28543616014
2025-01-01,30389.77970682801
2025-01-02,23099.092439354383
2025-01-03,17967.29800351006
2025-01-04,19913.84072055489
2025-01-05,2571.9146959795444
2025-01-06,11773.752994733677
2025-01-07,14605.08785588882
2025-01-08,15843.79685764426
2025-01-09,15843.79685764426
2025-01-10,15843.79685764426
2025-01-11,10181.12713533393
2025-01-12,16728.589001755437
2025-01-13,10004.168706511366
2025-01-14,10004.168706511366
2025-01-15,802.3304077580538
2025-01-16,7880.667560645613
2025-01-17,7172.833845356999
2025-01-18,14959.004713533128
2025-01-19,15489.88
2025-01-20,17436.422717044006
2025-01-21,22922.13401053182
2025-01-22,31062.221736353033
2025-01-23,32123.972309285953
2025-01-24,27346.094731086756
2025-01-25,33008.76445339709
2025-01-26,37609.683602773766
2025-01-27,34778.348741618574
2025-01-28,36370.97460101832
2025-01-29,27346.094731086756
2025-01-30,22037.341866420687
2025-01-31,19913.84072055489
2025-02-01,19382.965434088062
2025-02-02,21152.549722309555
2025-02-03,13720.295711777688
2025-02-04,13189.420425310862
2025-02-05,7526.750703001306
2025-02-06,3704.44864044193
2025-02-07,11419.83613708937
2025-02-08,19029.048576443754
2025-02-09,30354.388021063685
2025-02-10,25576.510442864444
2025-02-11,19736.88229173237
2025-02-12,17790.339574688314
2025-02-13,14428.129427066302
2025-02-14,17082.505859399702
2025-02-15,15489.88
2025-02-16,15489.88
2025-02-17,15399.88
2025-02-18,15355.630000000001
2025-02-19,15365.38
2025-02-20,15669.88
2025-02-21,15495.880000000001
2025-02-22,15495.880000000001
2025-02-23,5211.943070324186
2025-02-24,4726.026344766624
2025-02-25,5589.878301313437
2025-02-26,4348.091113777373
2025-02-27,4294.100366493085
2025-02-28,7371.572961691129
2025-03-01,4995.980081187312
2025-03-02,3862.174388219796
2025-03-03,3700.2021463671963
2025-03-04,6399.73951057599
2025-03-05,8289.415665521994
2025-03-06,6183.7765214393385
2025-03-07,9855.147336763035
2025-03-08,10287.073315036574
2025-03-09,9639.184347626398
2025-03-10,14174.407119497395
2025-03-11,14984.26832875921
2025-03-12,14984.26832875921
2025-03-13,15794.12953802346
2025-03-14,18385.68540766222
2025-03-15,15632.15729617011
2025-03-16,16550.0
2025-03-17,18480.94960536227
2025-03-18,16375.380000000001
2025-03-19,20650.869846371734
2025-03-20,17695.82760117882
2025-03-21,16114.88
2025-03-22,17366.252763486336
2025-03-23,17293.752607357346
2025-03-24,14321.246206060992
2025-03-25,16083.0
2025-03-26,16231.38
2025-03-27,25853.45687076767
2025-03-28,25316.038952109706
2025-03-29,26175.90762196205
2025-03-30,29722.865885105515
2025-03-31,19941.859765531284
2025-04-01,24778.62103345177
2025-04-02,21016.695602847158
2025-04-03,15750.0
